"","N","A0_unstable","A0_stable","A1_unstable","A1_stable","A1_stabilised","A1_destabilised","A0_infeasible","A0_feasible","A1_infeasible","A1_feasible","A1_made_feasible","A1_made_infeasible","A0_rho","A1_rho","rho_diff","rho_abs","complex_A0","complex_A1","C"
"1",2,609563,390437,616036,383964,15810,22283,1e+06,0,1e+06,0,0,0,5.5710324956248e-05,8.31524071761177e-05,2.74420822198698e-05,-0.000225005766187993,0.797935517156962,0.919440409827009,0.0332633053221289
"2",3,904064,95936,899040,100960,22842,17818,1e+06,0,1e+06,0,0,0,2.89481302638279e-05,-9.91926143098319e-06,-3.88673916948112e-05,-0.000211213473075564,0.9753815027452,1.12432508447697,0.0496498599439776
"3",4,991710,8290,988410,11590,6336,3036,1e+06,0,1e+06,0,0,0,-9.16713206965072e-05,-9.80548418752147e-05,-6.38352117870755e-06,-8.1227211309193e-05,1.12399216124663,1.29575195872872,0.0658963585434174
"4",5,999781,219,999477,523,424,120,1e+06,0,1e+06,0,0,0,-9.27401606635101e-06,-1.37111249812611e-05,-4.4371089149096e-06,-8.0945979746537e-05,1.25393616241514,1.4458517926106,0.0820028011204482
"5",6,999999,1,999981,19,18,0,1e+06,0,1e+06,0,0,0,-4.47788800739765e-05,-4.50530042917054e-06,4.02735796448057e-05,-0.000111605478423374,1.37079366645398,1.58069869897982,0.09796918767507
"6",7,1e+06,0,999999,1,1,0,1e+06,0,1e+06,0,0,0,-2.8500551030355e-05,-1.44693096438268e-06,2.70536200659725e-05,-8.54570160349268e-05,1.47753662800171,1.7038860040994,0.113795518207283
"7",8,1e+06,0,1e+06,0,0,0,1e+06,0,1e+06,0,0,0,4.84175790000461e-05,4.28485360435693e-05,-5.56904295647697e-06,-7.69469152235307e-05,1.57626357045795,1.81772364630395,0.129481792717087
"8",9,1e+06,0,1e+06,0,0,0,1e+06,0,1e+06,0,0,0,-5.65360197120548e-05,-4.19248169633813e-06,5.23435380157166e-05,-5.92171844476454e-05,1.6680647040222,1.92382569715654,0.145028011204482
"9",10,1e+06,0,1e+06,0,0,0,1e+06,0,1e+06,0,0,0,4.5249651477491e-05,3.9612978063222e-05,-5.63667341426893e-06,-5.8971568712844e-05,1.75451102463231,2.02338376567618,0.160434173669468
"10",11,1e+06,0,1e+06,0,0,0,1e+06,0,1e+06,0,0,0,2.76127733457187e-06,1.67360506739141e-05,1.39747733393422e-05,-6.04839459186168e-05,1.83638821222564,2.11783845660867,0.175700280112045
"11",12,1e+06,0,1e+06,0,0,0,1e+06,0,1e+06,0,0,0,3.06831900502431e-05,5.95742965165043e-05,2.88911064662613e-05,-4.87233392820546e-05,1.91357984222641,2.20698060786711,0.190826330532213
