"","N","A0_unstable","A0_stable","A1_unstable","A1_stable","A1_stabilised","A1_destabilised","A0_infeasible","A0_feasible","A1_infeasible","A1_feasible","A1_made_feasible","A1_made_infeasible","A0_rho","A1_rho","rho_diff","rho_abs","complex_A0","complex_A1","C"
"1",2,427243,572757,434600,565400,10539,17896,1e+06,0,1e+06,0,0,0,-8.33375038493651e-05,-0.000116962698961227,-3.36251951118625e-05,-0.000381288851936101,0.796422627008751,0.916656648161448,0.0553599374021909
"2",3,741345,258655,739020,260980,30813,28488,1e+06,0,1e+06,0,0,0,2.70490812255846e-05,-6.68178227055456e-05,-9.38669039311304e-05,-0.000298984015218985,0.972344612576062,1.11957883339323,0.0823552425665102
"3",4,931043,68957,921145,78855,26098,16200,1e+06,0,1e+06,0,0,0,-6.18202669483485e-05,-4.29236633210984e-05,1.88966036272508e-05,-0.000295052327975148,1.11882196914263,1.28881002333899,0.1089593114241
"4",5,989644,10356,984372,15628,9277,4005,1e+06,0,1e+06,0,0,0,-4.53139095801424e-05,-1.82258633982041e-05,2.70880461819383e-05,-0.00023415539939558,1.24662681067226,1.43618754024689,0.135172143974961
"5",6,999131,869,997914,2086,1669,452,1e+06,0,1e+06,0,0,0,6.17010972350158e-05,1.94143292409056e-05,-4.22867679941112e-05,-0.000209468028231753,1.36046655666892,1.56749662867209,0.160993740219092
"6",7,999946,54,999804,196,180,38,1e+06,0,1e+06,0,0,0,-1.70839215739559e-05,-2.03136264339206e-05,-3.22970485996476e-06,-0.00017861287354694,1.4642496382903,1.68725010599393,0.186424100156495
"7",8,999999,1,999988,12,12,1,1e+06,0,1e+06,0,0,0,3.87652540116447e-05,-1.92297142342619e-05,-5.79949682459066e-05,-0.000175725826578164,1.55963397154414,1.79740435375309,0.211463223787167
"8",9,1e+06,0,999999,1,1,0,1e+06,0,1e+06,0,0,0,-4.10415275010229e-05,-3.29422107459901e-05,8.09931675503256e-06,-0.000176251011832216,1.6482180871943,1.89944406499789,0.236111111111111
"9",10,1e+06,0,1e+06,0,0,0,1e+06,0,1e+06,0,0,0,-4.10032527945945e-05,-5.97317422064619e-05,-1.87284894118673e-05,-0.000161614358157258,1.73078591232937,1.99471497817179,0.260367762128326
"10",11,1e+06,0,1e+06,0,0,0,1e+06,0,1e+06,0,0,0,-1.48170896676563e-05,2.97868759375485e-05,4.4603965605205e-05,-0.000123558541803756,1.80867662010696,2.08472621993387,0.284233176838811
"11",12,1e+06,0,1e+06,0,0,0,1e+06,0,1e+06,0,0,0,2.9360777517316e-05,2.91805689812599e-06,-2.64427206191898e-05,-0.000145838316003536,1.8817533479526,2.16897637711421,0.307707355242566
