"","N","A0_unstable","A0_stable","A1_unstable","A1_stable","A1_stabilised","A1_destabilised","A0_infeasible","A0_feasible","A1_infeasible","A1_feasible","A1_made_feasible","A1_made_infeasible","A0_rho","A1_rho","rho_diff","rho_abs","complex_A0","complex_A1","C"
"1",2,527633,472367,535188,464812,13576,21131,1e+06,0,1e+06,0,0,0,5.30126501255647e-05,2.73109206326474e-05,-2.57017294929175e-05,-0.0003128929953799,0.797402400322642,0.918355674497007,0.0415570175438596
"2",3,842274,157726,837756,162244,28134,23616,1e+06,0,1e+06,0,0,0,2.8680146606452e-05,7.95331574350734e-06,-2.07268308629447e-05,-0.000183046818965736,0.974129300518868,1.12247094674433,0.0619517543859649
"3",4,975834,24166,969478,30522,13669,7313,1e+06,0,1e+06,0,0,0,-8.19650886356529e-06,-6.38510085323848e-05,-5.56544996688198e-05,-0.00021504582168969,1.12201147850566,1.29313711260087,0.0821271929824561
"4",5,998391,1609,996991,3009,2156,756,1e+06,0,1e+06,0,0,0,-6.89472886405121e-05,-6.62701396292379e-05,2.67714901127472e-06,-0.000142324518150499,1.25112873052974,1.44223314304976,0.102083333333333
"5",6,999955,45,999838,162,149,32,1e+06,0,1e+06,0,0,0,-2.2336630437824e-05,4.52938408033689e-07,2.27895688458576e-05,-0.000139210227733141,1.36699028518707,1.57576987892181,0.121820175438596
"6",7,999999,1,999996,4,4,1,1e+06,0,1e+06,0,0,0,-4.97168029693564e-06,-3.87102678117893e-05,-3.37385875148534e-05,-0.000136763685954717,1.47258624802619,1.69770565660521,0.141337719298246
"7",8,1e+06,0,1e+06,0,0,0,1e+06,0,1e+06,0,0,0,2.32191419974411e-05,-1.75237030663329e-06,-2.49715123040741e-05,-0.00013505253070318,1.56991449467294,1.80997623063618,0.160635964912281
"8",9,1e+06,0,1e+06,0,0,0,1e+06,0,1e+06,0,0,0,-2.52939571863885e-05,-5.01308390093895e-05,-2.48368818230013e-05,-9.29060327034415e-05,1.66061618737973,1.91468039075316,0.179714912280702
"9",10,1e+06,0,1e+06,0,0,0,1e+06,0,1e+06,0,0,0,-3.81443021749933e-05,-2.57467558231357e-05,1.23975463518577e-05,-0.000101340331261171,1.74579712035649,2.0129343613406,0.198574561403509
"10",11,1e+06,0,1e+06,0,0,0,1e+06,0,1e+06,0,0,0,4.71649513188602e-05,4.600877393891e-05,-1.15617737995029e-06,-9.82343780805241e-05,1.8260367965276,2.10555588744313,0.217214912280702
"11",12,1e+06,0,1e+06,0,0,0,1e+06,0,1e+06,0,0,0,-3.55634653892091e-05,-4.44989076653418e-05,-8.93544227613283e-06,-7.28915032218848e-05,1.90186076664487,2.1929362112662,0.235635964912281
