"","N","A0_unstable","A0_stable","A1_unstable","A1_stable","A1_stabilised","A1_destabilised","A0_infeasible","A0_feasible","A1_infeasible","A1_feasible","A1_made_feasible","A1_made_infeasible","A0_rho","A1_rho","rho_diff","rho_abs","complex_A0","complex_A1","C"
"1",24,26159,973841,26309,973691,16,166,1e+06,0,1e+06,0,0,0,0.000163020376699528,6.10575807407877e-05,-0.000101962795958738,-0.00306277136396576,0.15880244669874,0.181508072804315,0.12496734057971
"2",48,211700,788300,214607,785393,2003,4910,1e+06,0,1e+06,0,0,0,-8.48594892877397e-05,-0.00015522534912649,-7.03658598387495e-05,-0.000695438335936258,0.21545440973418,0.247869631842338,0.0991369219858156
"3",72,613966,386034,615862,384138,19385,21281,1e+06,0,1e+06,0,0,0,-3.19888604117092e-05,-4.81344458111739e-05,-1.61455853994649e-05,-0.000267795187021454,0.260268462840944,0.299880225044427,0.0908174284037559
"4",96,943949,56051,936840,63160,18062,10953,1e+06,0,1e+06,0,0,0,1.42014837872673e-05,-2.47233982120666e-05,-3.89248819993339e-05,-0.000162059592082119,0.298462160109044,0.34411587448581,0.0867075118421053
"5",120,999134,866,998351,1649,1136,353,1e+06,0,1e+06,0,0,0,2.3127798906701e-05,3.73849621217334e-06,-1.93893026945276e-05,-0.000150455904826951,0.332316929682446,0.383306146108818,0.0842580393557423
"6",144,1e+06,0,999997,3,3,0,1e+06,0,1e+06,0,0,0,-5.71567169379173e-06,-5.40143873452338e-05,-4.82987156514421e-05,-1.68604496710008e-05,0.363011401746729,0.418791652116791,0.082631828962704
"7",168,1e+06,0,1e+06,0,0,0,1e+06,0,1e+06,0,0,0,-1.15749563750875e-05,-3.67557982543993e-06,7.89937654964725e-06,-2.83512800059592e-05,0.391327708584055,0.451518275933608,0.0814744943684061
