N,A0_unstable,A0_stable,A1_unstable,A1_stable,A1_stabilised,A1_destabilised,A0_infeasible,A0_feasible,A1_infeasible,A1_feasible,A1_made_feasible,A1_made_infeasible,A0_rho,A1_rho,rho_diff,rho_abs,complex_A0,complex_A1,C
24,17442,982558,17489,982511,1,48,1000000,0,1000000,0,0,0,3.23024602027301E-05,-1.42713142644044E-05,-4.65737744671331E-05,-0.0034270101,0.1695020728,0.1941222848,0.1304347826
48,257013,742987,259517,740483,630,3134,1000000,0,1000000,0,0,0,-1.67737520971141E-05,-5.645048338178E-05,-3.96767312846665E-05,-0.0009205141,0.2355489185,0.27113805,0.1063829787
72,715587,284413,723082,276918,6650,14145,1000000,0,1000000,0,0,0,2.81238139501572E-05,1.00017842362553E-05,-0.000018122,-0.0003644264,0.2866561195,0.3304008872,0.0985915493
96,961817,38183,963276,36724,6464,7923,1000000,0,1000000,0,0,0,1.62278291156616E-05,-3.48646827621042E-05,-5.10925118777661E-05,-0.0001844078,0.3299114828,0.3804889304,0.0947368421
120,998976,1024,998812,1188,632,468,1000000,0,1000000,0,0,0,8.33882547654759E-06,-1.04352039909913E-05,-0.000018774,-9.81969367621955E-05,0.3681517785,0.4246688104,0.0924369748
144,999998,2,999991,9,8,1,1000000,0,1000000,0,0,0,2.1674818761586E-05,7.21905455336402E-06,-1.44557642082217E-05,-8.81434787750075E-05,0.4027470802,0.4646753677,0.0909090909
168,1000000,0,1000000,0,0,0,1000000,0,1000000,0,0,0,0.000017598,5.61556433182652E-06,-1.1982480581118E-05,-5.78136288075414E-05,0.4345714334,0.5014673775,0.0898203593
