"","N","A0_unstable","A0_stable","A1_unstable","A1_stable","A1_stabilised","A1_destabilised","A0_infeasible","A0_feasible","A1_infeasible","A1_feasible","A1_made_feasible","A1_made_infeasible","A0_rho","A1_rho","rho_diff","rho_abs","complex_A0","complex_A1","A0_eig","A1_eig","LCI_A0","UCI_A0","LCI_A1","UCI_A1","C"
"1",24,17388,982612,17446,982554,1,59,999999,1,1e+06,0,0,1,-2.06358902091922e-05,0.000309538884099413,0.000330174774308605,-0.00378384715962895,0.574806648160029,0.658263197905905,-0.388528257767754,-0.0695906039100736,-1.19483998320498,0.646296090598737,-0.861966858340598,0.812540493258223,0.130434782608696
"2",48,258024,741976,260579,739421,585,3140,1e+06,0,1e+06,0,0,0,0.000157797518711803,0.000214864748165096,5.7067229453293e-05,-0.000785422532052867,0.80739177954017,0.929419196207865,-0.102720836819964,-0.000259769317408143,-0.763762499378155,1.13104871053271,-0.393158312638276,1.23221088275824,0.106382978723404
"3",72,715036,284964,722639,277361,6445,14048,1e+06,0,1e+06,0,0,0,7.38647865196621e-06,-9.73478344267978e-06,-1.71212620946457e-05,-0.00027213158891175,0.98608395841846,1.13648049120465,0.102868809778813,0.0935568761687837,-0.535956243088675,1.26271831934473,-0.216335722729964,1.68030792580301,0.0985915492957746
"4",96,961434,38566,962788,37212,6682,8036,1e+06,0,1e+06,0,0,0,-6.665884253112e-05,-4.21663984535261e-05,2.44924440775939e-05,-0.000186553998200826,1.13693949418385,1.31102625485495,0.270320108145143,0.218712542413899,-0.309742449357522,1.36286906257634,-0.140374058883782,1.73625391875838,0.0947368421052632
"5",120,999008,992,998857,1143,635,484,1e+06,0,1e+06,0,0,0,3.50192742296626e-05,1.73168121740269e-05,-1.77024620556355e-05,-0.000139593316930708,1.27003865191692,1.46498323294689,0.415064436860178,0.35226175463089,-0.154886433226756,1.59505175277735,-0.0598716557088276,1.96194706004866,0.092436974789916
"6",144,999997,3,999994,6,5,2,1e+06,0,1e+06,0,0,0,-1.43594389289461e-05,-1.26717575838965e-05,1.68768134504943e-06,-6.76978710672429e-05,1.39031916175487,1.60412163147839,0.543623983526238,0.481482083210542,-0.0371332109017257,1.62963783659827,-0.0133180673170628,2.0411212790639,0.0909090909090909
"7",168,1e+06,0,1e+06,0,0,0,1e+06,0,1e+06,0,0,0,4.37853291862247e-06,2.018081418256e-05,1.58022812639374e-05,-9.5286937147092e-05,1.50103338305203,1.73206763415058,0.660549636400381,0.603962343260399,0.105802426155415,1.84041565978478,0.0224624697267773,2.17320369046864,0.0898203592814371
