"","N","A0_unstable","A0_stable","A1_unstable","A1_stable","A1_stabilised","A1_destabilised","A0_infeasible","A0_feasible","A1_infeasible","A1_feasible","A1_made_feasible","A1_made_infeasible","A0_rho","A1_rho","rho_diff","rho_abs","complex_A0","complex_A1","A0_eig","A1_eig","LCI_A0","UCI_A0","LCI_A1","UCI_A1","C"
"1",24,17673,982327,17720,982280,2,49,1e+06,0,1e+06,0,0,0,0.000255151175152741,0.000256756213583158,1.60503843041698e-06,-0.00350431371222878,0.574715586463729,0.658150257670291,-0.38824223445679,-0.0693903596674272,-1.25361619742606,0.681711301703638,-0.784173404126813,1.20218311640367,0.130431858695652
"2",48,255038,744962,257647,742353,607,3216,1e+06,0,1e+06,0,0,0,0.000198156979759526,6.0627033673042e-05,-0.000137529946086484,-0.000851509517887423,0.807338836811209,0.929295179793953,-0.103971087948047,-0.000802849918533924,-0.733455744419505,1.14905460354203,-0.357970342333166,1.32573204665834,0.106379973404255
"3",72,708892,291108,716829,283171,6810,14747,1e+06,0,1e+06,0,0,0,-6.45529055512124e-05,-6.34802346056118e-06,5.82048820906511e-05,-0.000379674484568961,0.985945674131919,1.13639400269958,0.0998111958293311,0.0914107348626492,-0.503136668471063,1.14513176782243,-0.231900798026892,1.58907652148061,0.0985883759780908
"4",96,960635,39365,961876,38124,6798,8039,1e+06,0,1e+06,0,0,0,-6.23840853374083e-05,-2.74917050266996e-05,3.48923803107089e-05,-0.000189397486452845,1.13706397449994,1.31121927319755,0.266317196545518,0.215198955030353,-0.314964586212943,1.38111309428975,-0.117026456200819,1.71225328314666,0.0947336776315789
"5",120,999040,960,998794,1206,660,414,1e+06,0,1e+06,0,0,0,2.74802079746935e-06,-6.38895018482414e-06,-9.13697098229376e-06,-0.000105778446031032,1.26987145937136,1.464828016133,0.409187803742697,0.34700201035495,-0.131579603637475,1.59075916158834,-0.0564864867318612,1.86096498897768,0.0924338411764706
"6",144,999997,3,999994,6,6,3,1e+06,0,1e+06,0,0,0,1.67327694161723e-05,2.34037994507382e-05,6.6710300345662e-06,-5.60815134066398e-05,1.39016014215018,1.60392849440385,0.536706714848687,0.47450553348967,-0.0105967283959446,1.74722057500003,-0.0165673013489646,2.01664768254067,0.0909059611499611
"7",168,1e+06,0,1e+06,0,0,0,1e+06,0,1e+06,0,0,0,2.18311113781854e-05,5.2942182611041e-05,3.11110712328556e-05,-5.93857854584432e-05,1.50094899976281,1.73197388839407,0.652656298250513,0.595948440484376,0.0485856442265737,1.79352796340711,0.0591238745843185,2.22105929476076,0.0898172584117479
