"","N","A0_unstable","A0_stable","A1_unstable","A1_stable","A2_unstable","A2_stable","A3_unstable","A3_stable","A4_unstable","A4_stable","A1_stabilised","A2_stabilised","A3_stabilised","A4_stabilised","A1_destabilised","A2_destabilised","A3_destabilised","A4_destabilised","A0_infeasible","A0_feasible","A1_infeasible","A1_feasible","A2_infeasible","A2_feasible","A3_infeasible","A3_feasible","A4_infeasible","A4_feasible","A1_made_feasible","A2_made_feasible","A3_made_feasible","A4_made_feasible","A1_made_infeasible","A2_made_infeasible","A3_made_infeasible","A4_made_infeasible"
"1",2,27,99973,27,99973,27,99973,27,99973,27,99973,0,0,0,0,0,0,0,0,75023,24977,75154,24846,75079,24921,74969,25031,74969,25031,3399,4197,4222,4342,3530,4253,4168,4270
"2",3,355,99645,355,99645,355,99645,355,99645,355,99645,0,0,0,0,0,0,0,0,87495,12505,87453,12547,87447,12553,87265,12735,87265,12735,3673,5111,5320,5225,3631,5063,5090,5219
"3",4,1461,98539,1469,98531,1475,98525,1475,98525,1473,98527,0,0,0,0,8,14,14,12,93712,6288,93721,6279,93691,6309,93778,6222,93778,6222,2642,3321,3238,3357,2651,3300,3304,3363
"4",5,3849,96151,3883,96117,3909,96091,3918,96082,3925,96075,4,5,4,3,38,65,73,79,96885,3115,96883,3117,96865,3135,96847,3153,96847,3153,1589,1915,1934,1934,1587,1895,1896,1891
"5",6,7966,92034,8109,91891,8148,91852,8150,91850,8188,91812,27,48,51,56,170,230,235,278,98408,1592,98469,1531,98439,1561,98484,1516,98484,1516,892,1034,988,1059,953,1065,1064,1088
"6",7,13419,86581,13720,86280,13744,86256,13812,86188,13796,86204,190,213,210,220,491,538,603,597,99214,786,99219,781,99211,789,99207,793,99207,793,490,557,568,607,495,554,561,560
"7",8,20504,79496,20940,79060,20999,79001,21049,78951,21166,78834,533,645,641,629,969,1140,1186,1291,99599,401,99571,429,99596,404,99601,399,99601,399,282,288,278,286,254,285,280,294
"8",9,28876,71124,29308,70692,29390,70610,29379,70621,29469,70531,1197,1409,1470,1445,1629,1923,1973,2038,99831,169,99830,170,99808,192,99817,183,99817,183,118,152,148,158,117,129,134,129
"9",10,38361,61639,38497,61503,38436,61564,38507,61493,38725,61275,2288,2631,2656,2661,2424,2706,2802,3025,99915,85,99902,98,99907,93,99890,110,99890,110,73,77,93,87,60,69,68,73
"10",11,48726,51274,48203,51797,47915,52085,48012,51988,48075,51925,3512,4121,4144,4190,2989,3310,3430,3539,99956,44,99957,43,99954,46,99945,55,99945,55,32,39,45,44,33,37,34,33
