N,A0_unstable,A0_stable,A1_unstable,A1_stable,A1_stabilised,A1_destabilised,A0_infeasible,A0_feasible,A1_infeasible,A1_feasible,A1_made_feasible,A1_made_infeasible,A0_rho,A1_rho,rho_diff,rho_abs,complex_A0,complex_A1,A0_eig,A1_eig,LCI_A0,UCI_A0,LCI_A1,UCI_A1
1,0,100000,0,100000,0,0,49865,50135,49865,50135,0,0,NA,NA,NA,NA,NA,NA,-0.998862567,-0.998862567,-1.9999368135,-4.18778508901596E-05,-1.9999368135,-4.18778508901596E-05
2,0,100000,0,100000,0,0,74874,25126,75046,24954,3515,3687,NA,NA,NA,NA,0.6381961953,0.6386803483,-1.0010809519,-0.7558124777,-1.9980130722,-0.0024190661,-1.9980130722,-1.1195722513957E-05
3,0,100000,0,100000,0,0,88227,11773,87878,12122,4126,3777,-0.0016282634,0.0514924059,0.0531206693,-0.0071120392,0.7062385486,0.7527334239,-0.914997389,-0.5844435752,-1.942434867,-0.0079637696,-1.9457147905,-2.63855560314189E-06
4,0,100000,0,100000,0,0,94890,5110,94546,5454,2840,2496,-0.0015723381,0.0443160605,0.0458883986,-0.006572449,0.8068437136,0.8847867695,-0.858106835,-0.4760973754,-1.938352022,-0.0533548077,-1.9362257409,-3.55474029564364E-06
5,2,99998,2,99998,0,0,98080,1920,97707,2293,1562,1189,-0.001149489,0.0361651468,0.0373146358,-0.0084568415,0.8968846881,0.9959538401,-0.8000773442,-0.3956598191,-1.7740514448,0.0594661515,-1.7595147606,0.0091600519
6,3,99997,3,99997,0,0,99329,671,99109,891,727,507,0.0014396926,0.0324874427,0.0310477501,-0.0057167856,0.982467736,1.1000765206,-0.7496157181,-0.3391691192,-1.6802403185,0.0623920004,-1.693104908,0.0462849921
7,13,99987,13,99987,0,0,99780,220,99734,266,229,183,0.0001027423,0.0278099986,0.0277072563,-0.0062615133,1.0602560567,1.1932055358,-0.7018201323,-0.2935550199,-1.637603465,0.2303455743,-1.6440554392,0.1154355688
8,27,99973,28,99972,0,1,99946,54,99910,90,83,47,-0.0002257067,0.0239545156,0.0241802223,-0.0057029653,1.1335317808,1.2810162907,-0.6563692026,-0.2573737966,-1.4911929394,0.2355741504,-1.4751907082,0.1217647102
9,76,99924,76,99924,0,0,99992,8,99979,21,21,8,-2.73451636519266E-05,0.0212701093,0.0212974545,-0.0044489974,1.201896698,1.3625488571,-0.6135236223,-0.2287237271,-1.4506285676,0.3130538288,-1.4291948262,0.3092895563
10,155,99845,159,99841,0,4,99998,2,99996,4,4,2,0.0003192041,0.0192480176,0.0189288135,-0.0038108854,1.2677020445,1.4403301493,-0.5712231362,-0.2033572487,-1.3683049348,0.1732672863,-1.2918214732,0.1661741704
11,243,99757,245,99755,0,2,100000,0,100000,0,0,0,9.13844191988872E-05,0.0178583709,0.0177669865,-0.0034707105,1.3277035945,1.5118052454,-0.5305754786,-0.1831990275,-1.3314158886,0.3316743167,-1.1836265243,0.2917989781
