N,A0_unstable,A0_stable,A1_unstable,A1_stable,A1_stabilised,A1_destabilised,A0_infeasible,A0_feasible,A1_infeasible,A1_feasible,A1_made_feasible,A1_made_infeasible,A0_rho,A1_rho,rho_diff,rho_abs,complex_A0,complex_A1,A0_eig,A1_eig,LCI_A0,UCI_A0,LCI_A1,UCI_A1
1,0,100000,0,100000,0,0,50058,49942,50058,49942,0,0,NA,NA,NA,NA,NA,NA,-0.9992421539,-0.9992421539,-1.9999678913,-3.20114195346832E-05,-1.9999678913,-3.20114195346832E-05
2,0,100000,0,100000,0,0,74975,25025,75015,24985,3647,3687,NA,NA,NA,NA,0.6356399765,0.6360297366,-1.0005510536,-0.7541144393,-1.9960239006,-0.0006571359,-1.9960239006,-1.22514388971595E-05
3,0,100000,0,100000,0,0,88072,11928,87774,12226,4075,3777,0.0014367805,0.0536648303,0.0522280499,-0.0054678938,0.7051503621,0.7523213194,-0.9130352149,-0.5819975897,-1.9464363115,-0.0315197226,-1.9422313253,-1.85700658589792E-05
4,0,100000,0,100000,0,0,94893,5107,94554,5446,2837,2498,0.0004038908,0.0451741394,0.0447702486,-0.0076875256,0.8056618451,0.8822432849,-0.8575405157,-0.4759931818,-1.8672150032,-0.0377845056,-1.8548350822,-1.02660957443668E-05
5,3,99997,3,99997,0,0,98057,1943,97724,2276,1538,1205,0.0015767222,0.0380393028,0.0364625806,-0.0069795217,0.8977082334,0.9975123327,-0.8002725496,-0.3962960938,-1.7754696383,0.2525523158,-1.7562718352,0.2537154818
6,3,99997,3,99997,0,0,99333,667,99167,833,650,484,0.0003445026,0.0322687136,0.031924211,-0.0070969347,0.9822066309,1.1007748215,-0.7496736577,-0.3372766021,-1.6471434078,0.1600448112,-1.6440932637,0.0231893341
7,11,99989,11,99989,0,0,99820,180,99734,266,241,155,-0.0009459847,0.026972861,0.0279188457,-0.0067192715,1.0602290796,1.1942737814,-0.7022459308,-0.2928113707,-1.6265542182,0.0903202731,-1.5994146157,0.0788407824
8,34,99966,35,99965,0,1,99958,42,99909,91,83,34,-0.0006055881,0.0229509345,0.0235565226,-0.0046368954,1.1312871108,1.2795881907,-0.6564163405,-0.2560436972,-1.5158228274,0.1952076689,-1.5748408302,0.1361701138
9,63,99937,64,99936,0,1,99978,22,99978,22,22,22,-0.0004590664,0.0213706412,0.0218297076,-0.005040387,1.2004957037,1.3613156248,-0.6135078368,-0.2283208952,-1.437930427,0.1757719624,-1.3745808433,0.1699375851
10,136,99864,136,99864,0,0,99998,2,99995,5,5,2,-0.0001154007,0.0194520563,0.019567457,-0.004129212,1.2661771777,1.4388357667,-0.5712074051,-0.20381067,-1.3256171101,0.4222488841,-1.3754739868,0.3023825188
11,228,99772,231,99769,0,3,99999,1,100000,0,0,1,-0.0005263156,0.0171440547,0.0176703703,-0.0034690555,1.3280689572,1.5117155095,-0.5310039308,-0.1834822145,-1.2984845602,0.2765294222,-1.2431171514,0.2759332743
12,479,99521,489,99511,0,10,100000,0,100000,0,0,0,-9.94975171991516E-05,0.0162697586,0.0163692561,-0.003119931,1.38676723,1.5805759406,-0.4914919326,-0.1659807937,-1.2133705996,0.3338762577,-1.0628822396,0.343288448
13,750,99250,770,99230,2,22,100000,0,100000,0,0,0,4.39516544612187E-05,0.0152773641,0.0152334125,-0.003113356,1.4418010208,1.6461966567,-0.4545137776,-0.1497901655,-1.2607879452,0.5157034339,-1.0581905749,0.509203684
14,1207,98793,1238,98762,2,33,100000,0,100000,0,0,0,-0.0002611693,0.014066427,0.0143275962,-0.002810963,1.4977441368,1.7111029535,-0.4191027675,-0.1366485227,-1.1011301292,0.5733704209,-1.1104027986,0.4589843517
15,1842,98158,1876,98124,6,40,100000,0,100000,0,0,0,0.0001381173,0.0130122616,0.0128741443,-0.0026100249,1.5498833932,1.7718024677,-0.3848749763,-0.1239818447,-1.1183354493,0.4073674009,-0.9743765984,0.3979149153
16,2632,97368,2701,97299,16,85,100000,0,100000,0,0,0,-0.000243321,0.0120074295,0.0122507506,-0.0022371059,1.5996126744,1.8300190063,-0.3519234099,-0.1117986686,-1.043498359,0.4761941718,-0.9719112813,0.4211420782
17,3776,96224,3891,96109,34,149,100000,0,100000,0,0,0,-0.0001621006,0.0116040826,0.0117661832,-0.0024625779,1.649083463,1.8879369303,-0.3192518,-0.1007162984,-0.9861426364,0.5444442903,-0.8841417667,0.5390311955
18,5271,94729,5428,94572,86,243,100000,0,100000,0,0,0,-7.79656065095382E-05,0.0107616524,0.010839618,-0.0019774032,1.6990468638,1.945882685,-0.2879050242,-0.0905043157,-0.8986075044,0.6133332992,-0.8020435295,0.5950542537
19,7004,92996,7232,92768,140,368,100000,0,100000,0,0,0,-0.0003437355,0.0101221371,0.0104658726,-0.0019363715,1.7446485479,1.9993940468,-0.2578181487,-0.0802853041,-0.8805402823,0.5988765833,-0.7194924784,0.5793569111
20,9207,90793,9505,90495,237,535,100000,0,100000,0,0,0,0.0003716971,0.0099062037,0.0095345065,-0.0018315272,1.7883002417,2.0503824611,-0.2269631736,-0.0703640409,-0.8285283093,0.7341473534,-0.6388461438,0.6133305141
21,11945,88055,12300,87700,443,798,100000,0,100000,0,0,0,-0.0003523664,0.0093766994,0.0097290658,-0.0019387244,1.8345693528,2.1038827058,-0.1985067325,-0.0608276869,-0.8082038579,0.814786231,-0.6814258467,0.6200266108
22,14698,85302,15073,84927,657,1032,100000,0,100000,0,0,0,-3.8036132046432E-05,0.0090865778,0.0091246139,-0.0014443672,1.8750308252,2.1520341111,-0.1709896176,-0.0513564188,-0.7856514514,0.9148974925,-0.6244881554,0.7223823229
23,18412,81588,18752,81248,1115,1455,100000,0,100000,0,0,0,9.04594733839133E-05,0.0085110269,0.0084205674,-0.0016007913,1.9173077912,2.2005963415,-0.1426920694,-0.0411901751,-0.7628670318,0.8258765887,-0.6441298139,0.847214579
24,22131,77869,22515,77485,1486,1870,100000,0,100000,0,0,0,5.31871863910312E-05,0.0082691974,0.0082160102,-0.0015292948,1.9597457397,2.2498287559,-0.1171335343,-0.0316614967,-0.6836824942,0.7405940524,-0.5026915862,0.7510774549
25,26649,73351,26840,73160,2052,2243,100000,0,100000,0,0,0,-0.0001194615,0.0078021951,0.0079216567,-0.001382404,2.0009005082,2.2969349599,-0.0905487207,-0.0215408829,-0.6670306267,0.8267174928,-0.5556886256,0.7942568399
26,31477,68523,31575,68425,2774,2872,100000,0,100000,0,0,0,-0.0001302869,0.0079756757,0.0081059627,-0.0014583606,2.0393491333,2.3426630208,-0.0652332182,-0.0109953448,-0.6082879709,0.9814734365,-0.4822852053,0.7804236691
27,36938,63062,36629,63371,3596,3287,100000,0,100000,0,0,0,-7.52061123344269E-07,0.0074544334,0.0074551854,-0.0014086297,2.0778227513,2.3871289508,-0.0396075744,-0.0003423002,-0.5920889761,0.7363387842,-0.4620106778,0.8981085127
28,42728,57272,42026,57974,4484,3782,100000,0,100000,0,0,0,-0.0002129692,0.0069616989,0.0071746681,-0.0013312458,2.1164777001,2.4320210396,-0.0150843319,0.010559725,-0.5779638787,0.8838371448,-0.3642363205,0.9713529262
29,48366,51634,47260,52740,5333,4227,100000,0,100000,0,0,0,-6.6570157716588E-05,0.0069804585,0.0070470286,-0.0012479067,2.154248902,2.476248417,0.0081802372,0.0212769742,-0.6212811449,1.003339874,-0.3786671169,1.0367374352
30,54295,45705,52619,47381,6128,4452,100000,0,100000,0,0,0,1.83890701602857E-06,0.0067781621,0.0067763232,-0.0013491507,2.1915935328,2.5188891475,0.0319228927,0.0331792786,-0.4964281549,0.8773884255,-0.3275277772,1.0020696274
31,60579,39421,58332,41668,6815,4568,100000,0,100000,0,0,0,6.95242124535715E-05,0.0065565357,0.0064870115,-0.0008479614,2.2257688001,2.5592892716,0.0555197654,0.0453486914,-0.4579344271,0.9501788268,-0.3385417179,0.9686506799
32,66414,33586,63769,36231,7355,4710,100000,0,100000,0,0,0,2.00505704835605E-05,0.0062994733,0.0062794227,-0.0010017216,2.2623376022,2.601451742,0.0785886389,0.0584704418,-0.4239839648,0.978777885,-0.2874976468,0.9745635861
33,71904,28096,68896,31104,7583,4575,100000,0,100000,0,0,0,-6.07016075309284E-05,0.0061079062,0.0061686078,-0.0013070642,2.2989149638,2.6433024723,0.1016194461,0.071569974,-0.4636614165,0.9663101145,-0.2710324096,0.858831944
34,77089,22911,73928,26072,7578,4417,100000,0,100000,0,0,0,-0.0001047789,0.0059306855,0.0060354644,-0.0009381318,2.3336179018,2.6834996286,0.1233716662,0.0849561276,-0.4489814739,1.0991961531,-0.2753431676,0.9858669321
35,81618,18382,78188,21812,7465,4035,100000,0,100000,0,0,0,0.0001010421,0.0058858204,0.0057847783,-0.0010342501,2.3663939902,2.7218691965,0.1450602992,0.0982916977,-0.3683798627,1.2306126742,-0.2179971904,1.0230722656
36,86014,13986,82393,17607,7142,3521,100000,0,100000,0,0,0,0.0001503804,0.005700227,0.0055498465,-0.0010329125,2.4007932528,2.7614516785,0.1669011098,0.1124716211,-0.4226927132,1.0177358229,-0.2226939563,0.9374540813
37,89300,10700,85954,14046,6309,2963,100000,0,100000,0,0,0,-0.0001832194,0.0052417663,0.0054249857,-0.0010815162,2.4339074086,2.8002632658,0.1889180871,0.1276001436,-0.303898488,1.1299575955,-0.226656182,1.1732456208
38,91995,8005,88884,11116,5657,2546,100000,0,100000,0,0,0,-0.0001217533,0.005321554,0.0054433074,-0.0009065937,2.465787964,2.8374407591,0.2083676169,0.1416486132,-0.2783588419,1.1714602794,-0.2627469503,1.2332451442
39,94372,5628,91512,8488,4839,1979,100000,0,100000,0,0,0,-0.0001288647,0.0052496399,0.0053785046,-0.0010282954,2.4971422691,2.8736626976,0.2291804546,0.1564988779,-0.2978171342,1.1683414257,-0.1870082871,1.1350999919
40,96104,3896,93650,6350,3987,1533,100000,0,100000,0,0,0,-9.37752189294341E-05,0.0049181105,0.0050118858,-0.0009169106,2.5301186152,2.9116779672,0.249479393,0.1716023278,-0.2597821294,1.1141091982,-0.1695411892,1.1815761533
41,97373,2627,95502,4498,3038,1167,100000,0,100000,0,0,0,0.000057454,0.0049964788,0.0049390248,-0.0009746899,2.5611611076,2.9477835,0.2694431064,0.1874089723,-0.2377789523,1.2297833481,-0.1583358092,1.1069461755
42,98217,1783,96709,3291,2361,853,100000,0,100000,0,0,0,0.000127464,0.004716303,0.0045888389,-0.0008558233,2.5923065784,2.9839540636,0.289705853,0.2032311585,-0.204814084,1.5443897338,-0.1558705116,1.2538876899
43,98930,1070,97803,2197,1673,546,100000,0,100000,0,0,0,1.67870830392895E-05,0.0047563409,0.0047395539,-0.0008662592,2.6238789186,3.0200005034,0.3088819761,0.2188719091,-0.209531374,1.1655780126,-0.1209669469,1.353604
44,99355,645,98454,1546,1248,347,100000,0,100000,0,0,0,0.0001000196,0.0045888028,0.0044887832,-0.0008814144,2.6539370537,3.0556944363,0.3288324065,0.2343004863,-0.1754025613,1.1509146206,-0.1372519172,1.2158466616
45,99603,397,99009,991,838,244,100000,0,100000,0,0,0,-0.0001590514,0.0044204497,0.0045795011,-0.0007539858,2.6842478568,3.089914437,0.3464207893,0.2502827776,-0.1672181375,1.4021843517,-0.13127245,1.3253733787
46,99788,212,99323,677,596,131,100000,0,100000,0,0,0,-0.0001190976,0.0042936716,0.0044127692,-0.0007795232,2.7126942529,3.1232441339,0.3659307497,0.2661866335,-0.1265067668,1.2508602062,-0.0878205658,1.2462323633
47,99873,127,99579,421,375,81,100000,0,100000,0,0,0,-0.0001576312,0.0042143019,0.0043719331,-0.0006461112,2.7425177773,3.1576085188,0.3834225747,0.2810267198,-0.1490786938,1.2420890043,-0.1294317097,1.2960430317
48,99937,63,99730,270,253,46,100000,0,100000,0,0,0,-3.16046368683795E-05,0.0041994745,0.0042310791,-0.0008221488,2.7705154098,3.1903014048,0.4017559213,0.2971154852,-0.0632423309,1.3127595447,-0.0645519281,1.4669246865
49,99974,26,99865,135,127,18,100000,0,100000,0,0,0,-2.91434504001432E-05,0.0040741619,0.0041033053,-0.0007167757,2.8000165354,3.2243001865,0.4206501827,0.3137003056,-0.050947637,1.4048475009,-0.0472535266,1.3498554144
50,99985,15,99908,92,88,11,100000,0,100000,0,0,0,-6.57893185199963E-05,0.0038178296,0.0038836189,-0.0007299287,2.8278601888,3.2570643366,0.4381557716,0.3283889563,-0.0633907476,1.3623768392,-0.052576539,1.5897987536
51,99991,9,99957,43,43,9,100000,0,100000,0,0,0,7.65027268814077E-05,0.0040852769,0.0040087742,-0.0007227437,2.8560757567,3.2896983171,0.4568942204,0.3460745072,-0.0952749617,1.3285735283,-0.0431108673,1.3297094391
52,99995,5,99976,24,22,3,100000,0,100000,0,0,0,0.000042031,0.0036960751,0.0036540442,-0.0007833758,2.8855366731,3.3234161016,0.475254633,0.3623379632,-0.0941287225,1.4119179971,-0.0424031484,1.4082583162
53,99997,3,99982,18,17,2,100000,0,100000,0,0,0,-3.62823417259419E-05,0.003826003,0.0038622854,-0.0006360541,2.9132798358,3.3552213341,0.4915987226,0.3771241426,-0.0442583806,1.4126981684,-0.0470899522,1.3531812173
