N,A0_unstable,A0_stable,A1_unstable,A1_stable,A1_stabilised,A1_destabilised,A0_infeasible,A0_feasible,A1_infeasible,A1_feasible,A1_made_feasible,A1_made_infeasible,A0_rho,A1_rho,rho_diff,rho_abs,complex_A0,complex_A1,A0_eig,A1_eig,LCI_A0,UCI_A0,LCI_A1,UCI_A1
1,0,100000,0,100000,0,0,50029,49971,50029,49971,0,0,NA,NA,NA,NA,NA,NA,-0.9991280209,-0.9991280209,-1.9999595876,-9.2657282948494E-06,-1.9999595876,-9.2657282948494E-06
2,0,100000,0,100000,0,0,74782,25218,74818,25182,3679,3715,NA,NA,NA,NA,0.6378781626,0.6381018641,-0.9983120885,-0.7521755109,-1.9995297703,-0.0059610226,-1.9995297703,-7.9963338792138E-06
3,1,99999,1,99999,0,0,88334,11666,87916,12084,4107,3689,-0.0014277873,0.0544748463,0.0559026336,-0.0056556075,0.7069482932,0.7538389597,-0.9151589696,-0.5839635352,-1.9289347521,0.0230811012,-1.9173866119,0.023053389
4,0,100000,0,100000,0,0,94908,5092,94533,5467,2856,2481,-0.0007425654,0.0465325628,0.0472751282,-0.0095689335,0.8061169137,0.8821394042,-0.8575643262,-0.4754308798,-1.9222983957,-0.0438888842,-1.9198588075,-7.73674324339169E-06
5,2,99998,2,99998,0,0,98081,1919,97734,2266,1543,1196,1.44283552830788E-05,0.0366671378,0.0366527095,-0.0078674611,0.8983291597,0.9970322574,-0.8003289441,-0.3980437442,-1.7773294848,0.0504086271,-1.7912692251,0.022675149
6,8,99992,8,99992,0,0,99358,642,99164,836,700,506,0.000211506,0.0313980356,0.0311865296,-0.0068316957,0.9816815285,1.0993690292,-0.7495556102,-0.3376846675,-1.6952480428,0.2511385699,-1.6646886751,0.1287979169
7,9,99991,9,99991,0,0,99800,200,99728,272,238,166,-2.80322037854407E-05,0.0262743854,0.0263024176,-0.0069830856,1.061249509,1.195229234,-0.7021039474,-0.2930381419,-1.6030702796,0.3364475798,-1.590893073,0.1312807473
8,19,99981,20,99980,0,1,99940,60,99919,81,78,57,-0.0014000492,0.0242171263,0.0256171755,-0.0054373828,1.1327217057,1.2805507737,-0.6568498916,-0.2565522943,-1.5145844795,0.2294733917,-1.4662796919,0.201770916
9,57,99943,58,99942,0,1,99988,12,99975,25,24,11,0.0003451397,0.0221155461,0.0217704064,-0.0045714302,1.2003049176,1.3613998645,-0.6121119373,-0.2279422101,-1.4220934868,0.395546825,-1.4269063704,0.1707033425
10,144,99856,145,99855,0,1,99997,3,99992,8,8,3,0.0001537224,0.0188792311,0.0187255087,-0.0042408136,1.2647413533,1.437454958,-0.5705742997,-0.2043029457,-1.37653519,0.2857356825,-1.3436471912,0.3019909799
11,249,99751,251,99749,0,2,100000,0,100000,0,0,0,0.0001918053,0.0176406305,0.0174488253,-0.0034698397,1.32646372,1.5104023061,-0.5305865603,-0.1833039977,-1.3570300217,0.3636102804,-1.3718169559,0.2259463621
12,418,99582,429,99571,0,11,100000,0,100000,0,0,0,7.74427114056269E-05,0.0160894417,0.016011999,-0.003502042,1.3865348798,1.5806892997,-0.4924509302,-0.1656250348,-1.3269080962,0.3461785919,-1.2093987606,0.3847361255
13,814,99186,829,99171,0,15,100000,0,100000,0,0,0,-3.7340463320013E-05,0.0152155359,0.0152528763,-0.0028949838,1.4433324416,1.6476375981,-0.4545082367,-0.1503174114,-1.1771271728,0.3804553943,-1.09265521,0.4071828116
14,1203,98797,1231,98769,3,31,100000,0,100000,0,0,0,0.0004333403,0.0139742202,0.0135408799,-0.0032005618,1.4960541614,1.7092482367,-0.4186311543,-0.1357306626,-1.1276301848,0.4283949729,-1.0416533206,0.3940934312
15,1815,98185,1860,98140,9,54,100000,0,100000,0,0,0,-0.0003518204,0.0128000168,0.0131518372,-0.0021911896,1.5490109452,1.7710732087,-0.3842121417,-0.1237742207,-1.0811160295,0.5696422324,-1.0086588504,0.5307678357
16,2716,97284,2778,97222,19,81,100000,0,100000,0,0,0,-2.1350781726093E-05,0.0123696715,0.0123910223,-0.0025306966,1.5999150931,1.830738994,-0.3511074592,-0.1120267306,-0.9910700944,0.6016497389,-0.8482866614,0.3706196197
17,3862,96138,4004,95996,29,171,100000,0,100000,0,0,0,0.0003665779,0.0120250492,0.0116584713,-0.0022103903,1.6500928793,1.8892986915,-0.3190074862,-0.1011344873,-0.9973085682,0.5845554446,-0.8945409654,0.5678211683
18,5315,94685,5472,94528,87,244,100000,0,100000,0,0,0,-0.0001417766,0.0110405618,0.0111823384,-0.0019016998,1.6980419635,1.9451431005,-0.2872579667,-0.0902396907,-0.936249162,0.7586070405,-0.9007827673,0.7041448569
19,7082,92918,7337,92663,136,391,100000,0,100000,0,0,0,-0.0001286902,0.0106460654,0.0107747557,-0.0020733775,1.7441271701,1.9990850907,-0.2576307708,-0.0802280306,-0.8665732971,0.6354797649,-0.7903352016,0.5513756437
20,9271,90729,9572,90428,238,539,100000,0,100000,0,0,0,0.0002354,0.0101669765,0.0099315765,-0.0018816454,1.7893865448,2.0512475846,-0.2274573224,-0.0705909201,-0.8374340462,0.600483662,-0.6121745758,0.5788770731
21,11708,88292,12040,87960,462,794,100000,0,100000,0,0,0,-8.54483383273547E-05,0.0093083715,0.0093938199,-0.0019916273,1.8344271971,2.1035275311,-0.1994993518,-0.0608356239,-0.7695678854,0.6299056496,-0.6769694341,0.6491917036
22,14759,85241,15213,84787,643,1097,100000,0,100000,0,0,0,2.7916105150086E-05,0.0091541944,0.0091262783,-0.0017195256,1.875938394,2.1526444534,-0.1710798076,-0.0511064397,-0.798039736,0.7082695485,-0.5878212221,0.7761525204
23,18344,81656,18737,81263,1021,1414,100000,0,100000,0,0,0,0.0001479069,0.0086107409,0.0084628339,-0.0015974985,1.9179044694,2.201705958,-0.1432260961,-0.0414612644,-0.7135162318,0.6779186671,-0.4999212182,0.75481911
24,22624,77376,22938,77062,1534,1848,100000,0,100000,0,0,0,7.56701352597481E-05,0.0083881155,0.0083124453,-0.0017353085,1.9574707606,2.2475908264,-0.1156621417,-0.0310535332,-0.7165894586,0.7929581911,-0.5220511372,0.722635652
25,26818,73182,27050,72950,2059,2291,100000,0,100000,0,0,0,0.0001277152,0.0079473672,0.007819652,-0.0015412856,1.9984283555,2.2951260191,-0.0903466051,-0.021359829,-0.6706026991,0.950193507,-0.6606175706,0.9000744688
26,31586,68414,31610,68390,2799,2823,100000,0,100000,0,0,0,0.00010752,0.0079024714,0.0077949514,-0.001419345,2.040625927,2.343541296,-0.0654041842,-0.0113632924,-0.7037998152,0.8388425345,-0.4696127992,0.7581267205
27,36975,63025,36647,63353,3620,3292,100000,0,100000,0,0,0,-3.07187546155711E-05,0.0070784462,0.007109165,-0.0012783279,2.0789225435,2.3881594598,-0.0398987866,-0.0005228658,-0.5889373003,0.9191214596,-0.4782665234,0.7672454545
28,42454,57546,41729,58271,4386,3661,100000,0,100000,0,0,0,-0.0002973696,0.0070715644,0.007368934,-0.0013474386,2.117035074,2.4326861247,-0.0160197515,0.0103009196,-0.6986064308,1.0177063067,-0.3962039853,0.9823945663
29,48896,51104,47506,52494,5510,4120,100000,0,100000,0,0,0,-4.72364084783588E-05,0.006994602,0.0070418384,-0.00121446,2.1539877503,2.4754777472,0.009879807,0.0222431384,-0.5317091593,1.0876266996,-0.3795479041,0.895716412
30,54428,45572,52752,47248,6151,4475,100000,0,100000,0,0,0,4.20798089787041E-05,0.0065962581,0.0065541783,-0.0013354935,2.1917871801,2.5194549738,0.032275154,0.033052178,-0.5085426039,0.9426227028,-0.385017446,0.9354557982
31,60481,39519,58259,41741,6840,4618,100000,0,100000,0,0,0,-7.88788905107685E-05,0.0065283555,0.0066072344,-0.0010365769,2.2265181954,2.5599412896,0.0555955511,0.0459842113,-0.5035413591,1.0094071384,-0.3455828687,1.0336490983
32,66378,33622,63846,36154,7321,4789,100000,0,100000,0,0,0,9.20926038668204E-05,0.0062923293,0.0062002367,-0.0012347319,2.2624465432,2.6013995645,0.0788981299,0.0583932701,-0.4876142879,1.0516520612,-0.3257972257,0.9446577019
33,71839,28161,68845,31155,7654,4660,100000,0,100000,0,0,0,-0.000044027,0.0060325482,0.0060765751,-0.0012512183,2.2966222727,2.6416465957,0.1006585788,0.0712592099,-0.417669108,0.9391724281,-0.2944540139,0.9628849863
34,77247,22753,73824,26176,7764,4341,100000,0,100000,0,0,0,-1.34871751060684E-05,0.0058114885,0.0058249757,-0.0010931798,2.3325344838,2.6825196009,0.1238224768,0.0850436428,-0.4328209884,1.0365242715,-0.2958549457,0.9628982002
35,81710,18290,78233,21767,7553,4076,100000,0,100000,0,0,0,-0.0001901786,0.0056207349,0.0058109136,-0.0009939386,2.3664841142,2.7219676299,0.1452002355,0.0979632979,-0.3567413089,1.1765182053,-0.2901705177,1.16321008
36,85910,14090,82326,17674,7092,3508,100000,0,100000,0,0,0,-5.46988312056425E-06,0.005411106,0.0054165759,-0.0009048309,2.4014424277,2.7620422757,0.1673198999,0.1128947436,-0.3574291578,1.0406874064,-0.2247215359,1.01169229
37,89341,10659,85955,14045,6403,3017,100000,0,100000,0,0,0,0.0001417927,0.0055412832,0.0053994904,-0.0011287948,2.4331756268,2.7990334002,0.1875755997,0.1268530274,-0.3315052658,1.0856243466,-0.1975689716,1.1341777185
38,92260,7740,89160,10840,5561,2461,100000,0,100000,0,0,0,0.0002691992,0.0053043053,0.0050351061,-0.0010713201,2.4653962861,2.8369887285,0.2087426848,0.1419732025,-0.360629413,1.1955824149,-0.2141431438,1.2219764392
39,94231,5769,91503,8497,4728,2000,100000,0,100000,0,0,0,-2.09137338368111E-05,0.0051870563,0.00520797,-0.0007885547,2.4975701022,2.874236954,0.2299063966,0.1567175681,-0.3169778553,1.0525697935,-0.1717708986,1.1326134931
40,96117,3883,93680,6320,3922,1485,100000,0,100000,0,0,0,5.93690923872426E-05,0.0050410865,0.0049817175,-0.0006623776,2.5303196389,2.9121664767,0.2493764105,0.1719721469,-0.2594812894,1.1231427224,-0.1654628691,1.3066052371
41,97393,2607,95407,4593,3129,1143,100000,0,100000,0,0,0,3.85555947299084E-05,0.0049518244,0.0049132688,-0.0009104772,2.5613743885,2.947939988,0.2702677905,0.1874794868,-0.2427663625,1.3283968956,-0.1541679398,1.2433640709
42,98318,1682,96754,3246,2324,760,100000,0,100000,0,0,0,7.21579591793127E-06,0.0048271062,0.0048198904,-0.0008628271,2.5928190369,2.9846221349,0.2890728933,0.2025904594,-0.1948686172,1.2595763698,-0.1367423454,1.471887198
43,98993,1007,97703,2297,1808,518,100000,0,100000,0,0,0,0.0001857378,0.0047792777,0.0045935399,-0.0008031154,2.6223661403,3.0188934656,0.3089950087,0.2185492946,-0.2082673963,1.1854326493,-0.1830242046,1.1971511838
44,99361,639,98406,1594,1295,340,100000,0,100000,0,0,0,2.09864030362274E-05,0.0046436158,0.0046226294,-0.0008035604,2.6542290702,3.0553237193,0.328157043,0.2346583164,-0.1623812083,1.3530640959,-0.1060572809,1.1874464403
45,99644,356,99014,986,842,212,100000,0,100000,0,0,0,5.73726745525938E-05,0.0046192651,0.0045618924,-0.0009623766,2.6828555968,3.0886077235,0.3478985357,0.2508985542,-0.1425316037,1.1844075708,-0.1127428286,1.2897447082
46,99802,198,99329,671,597,124,100000,0,100000,0,0,0,8.63013941616282E-05,0.0043340165,0.0042477151,-0.000812992,2.7123702844,3.1231875697,0.3653886019,0.2649374785,-0.1685066179,1.2192760494,-0.0998649987,1.313767349
47,99893,107,99616,384,348,71,100000,0,100000,0,0,0,5.7676523417647E-05,0.004302182,0.0042445055,-0.0007651349,2.7425955201,3.1579749986,0.3842921242,0.2817491796,-0.1038355019,1.2573020788,-0.0788253558,1.3500129331
48,99944,56,99770,230,218,44,100000,0,100000,0,0,0,0.0001520792,0.0043216667,0.0041695875,-0.0006469854,2.7728993872,3.1923590948,0.403266953,0.2986251625,-0.113270274,1.3978606783,-0.0865467265,1.3918890947
49,99979,21,99862,138,128,11,100000,0,100000,0,0,0,-8.75141094824641E-05,0.0040767516,0.0041642657,-0.0007503088,2.8006011172,3.2249651865,0.4203090649,0.3132555806,-0.0909155955,1.3037527844,-0.0479709283,1.3558514162
50,99994,6,99919,81,79,4,100000,0,100000,0,0,0,-5.7957387803595E-05,0.0039595787,0.0040175361,-0.0006926537,2.8281757568,3.2567770264,0.4390082095,0.3299026833,-0.0361769975,1.3625111185,-0.0486982286,1.2675170135
51,99993,7,99961,39,38,6,100000,0,100000,0,0,0,-0.0001204661,0.0038412578,0.0039617239,-0.0008224244,2.8559586568,3.2892693128,0.4561527347,0.3457040225,-0.036892165,1.4064101532,-0.0332034576,1.4972121637
52,99998,2,99975,25,25,2,100000,0,100000,0,0,0,-3.90230895427283E-05,0.0038720405,0.0039110635,-0.0007096422,2.8844902883,3.3222051863,0.4740967791,0.3613285979,-0.0589531779,1.5167846032,-0.0345701708,1.3908193795
53,99997,3,99982,18,18,3,100000,0,100000,0,0,0,-0.0001617493,0.0037093805,0.0038711298,-0.0006925637,2.9120740517,3.3542672089,0.4910944319,0.3767191704,-0.0344131521,1.3657240931,-0.0418926449,1.3943930511
54,100000,0,99993,7,7,0,100000,0,100000,0,0,0,-3.17245081604084E-05,0.0036524196,0.0036841441,-0.0006679486,2.9394138571,3.385687314,0.5082518961,0.3932253437,0.0070598573,1.4424443575,-0.0295217673,1.608874809
55,100000,0,99997,3,3,0,100000,0,100000,0,0,0,-2.38249262707607E-06,0.0035447501,0.0035471326,-0.000680738,2.9665194373,3.4173650613,0.5244913445,0.4079130577,0.0180045153,1.4261422181,-0.0213844242,1.5065296608
56,100000,0,99998,2,2,0,100000,0,100000,0,0,0,6.90232860090461E-06,0.0036258069,0.0036189046,-0.000627387,2.9934570286,3.44849899,0.5418957955,0.4237701084,0.0548469744,1.4891789536,-0.0079139709,1.5025147696
57,100000,0,100000,0,0,0,100000,0,100000,0,0,0,-0.0001286133,0.0036034519,0.0037320652,-0.0006525482,3.0197523806,3.4787154101,0.5586004658,0.4391931467,0.0472531475,1.4397133198,0.0071640678,1.5338727686
58,100000,0,100000,0,0,0,100000,0,100000,0,0,0,-9.35692889906524E-05,0.0033560432,0.0034496125,-0.0006145739,3.046554455,3.5100504195,0.5754192027,0.4557893114,0.0538147045,1.5428597431,0.0276991905,1.5464306853
59,100000,0,100000,0,0,0,100000,0,100000,0,0,0,0.0001252,0.0034772645,0.0033520644,-0.0006047248,3.07338319,3.5405867788,0.5935573723,0.4733942441,0.056741367,1.4253067395,0.0172346216,1.4864894411
60,100000,0,100000,0,0,0,100000,0,100000,0,0,0,-4.44302143637743E-05,0.003317424,0.0033618542,-0.0006537693,3.0979896124,3.570084806,0.6083250595,0.4866354267,0.1244210085,1.5806385533,0.0206723276,1.5849119016
