N,A0_unstable,A0_stable,A1_unstable,A1_stable,A1_stabilised,A1_destabilised,A0_infeasible,A0_feasible,A1_infeasible,A1_feasible,A1_made_feasible,A1_made_infeasible,A0_rho,A1_rho,rho_diff,rho_abs,complex_A0,complex_A1
1,0,100000,0,100000,0,0,50045,49955,50045,49955,0,0,NA,NA,NA,NA,NA,NA
2,0,100000,0,100000,0,0,74835,25165,74721,25279,3682,3568,NA,NA,NA,NA,0.638584178,0.6380545107
3,0,100000,0,100000,0,0,88292,11708,87992,12008,4106,3806,-0.000268555,0.0498946762,0.0501632312,-0.007198511,0.7052628493,0.7526880933
4,0,100000,0,100000,0,0,94896,5104,94416,5584,2994,2514,-0.0012928635,0.0456467771,0.0469396406,-0.0076737707,0.8055455223,0.8826328574
5,1,99999,1,99999,0,0,98134,1866,97728,2272,1594,1188,0.0011191533,0.0391396072,0.038020454,-0.0083305535,0.8966177347,0.9963186513
6,4,99996,4,99996,0,0,99336,664,99174,826,665,503,-0.0016187942,0.0310149868,0.032633781,-0.00753721,0.9830531462,1.1006483816
7,14,99986,14,99986,0,0,99824,176,99717,283,256,149,6.14514777095164E-05,0.0269698183,0.0269083669,-0.0060381103,1.0584989796,1.1922851445
8,27,99973,27,99973,0,0,99956,44,99931,69,68,43,0.0010862076,0.0241384497,0.0230522421,-0.0052515403,1.133678309,1.28184188
9,63,99937,65,99935,0,2,99996,4,99981,19,19,4,6.63754573652337E-05,0.0214091323,0.0213427568,-0.0038180458,1.1994618128,1.3603802111
10,129,99871,130,99870,0,1,99998,2,99992,8,8,2,0.0004334622,0.0200905168,0.0196570545,-0.0038537262,1.2660344753,1.4390275223
11,241,99759,246,99754,0,5,100000,0,100000,0,0,0,-0.0001275296,0.0174580898,0.0175856194,-0.0038899732,1.3289330038,1.512657503
12,464,99536,476,99524,0,12,100000,0,100000,0,0,0,0.0001005934,0.0165415961,0.0164410027,-0.0031442484,1.3886861633,1.5830886043
13,790,99210,798,99202,0,8,100000,0,100000,0,0,0,-0.0001000193,0.014926349,0.0150263682,-0.0033774133,1.441204751,1.6448766052
14,1259,98741,1288,98712,4,33,100000,0,100000,0,0,0,0.0003752462,0.0138002991,0.0134250529,-0.0026217141,1.4958960581,1.7086234365
15,1884,98116,1932,98068,5,53,100000,0,100000,0,0,0,0.0002905543,0.0129662634,0.012675709,-0.002712261,1.5504298562,1.77262341
16,2777,97223,2859,97141,10,92,100000,0,100000,0,0,0,-0.0002104045,0.0122137162,0.0124241207,-0.0028397456,1.6004208284,1.8311493263
17,3812,96188,3954,96046,44,186,100000,0,100000,0,0,0,0.0002013844,0.0120755989,0.0118742145,-0.0018967918,1.6486613846,1.8873725652
18,5153,94847,5355,94645,62,264,100000,0,100000,0,0,0,-0.000149722,0.0110971241,0.0112468461,-0.0020246588,1.6961446891,1.9429860795
19,7054,92946,7306,92694,113,365,100000,0,100000,0,0,0,-0.0002857895,0.0102003003,0.0104860898,-0.0018956359,1.7437952705,1.9985519616
20,9178,90822,9498,90502,234,554,100000,0,100000,0,0,0,-0.000035441,0.0100512269,0.0100866679,-0.0021267909,1.7888007639,2.0505523128
21,11817,88183,12166,87834,442,791,100000,0,100000,0,0,0,0.0001665387,0.0094000274,0.0092334887,-0.0019030216,1.8321945406,2.1021910782
22,14743,85257,15098,84902,681,1036,100000,0,100000,0,0,0,-0.0001633929,0.0089783139,0.0091417067,-0.001903331,1.8759267578,2.1523202539
23,18366,81634,18774,81226,1003,1411,100000,0,100000,0,0,0,-0.0003228731,0.00860925,0.0089321231,-0.0016050296,1.9194218036,2.2028268015
24,21971,78029,22341,77659,1484,1854,100000,0,100000,0,0,0,0.0001878508,0.0084194705,0.0082316196,-0.001343539,1.9593614945,2.2494757435
25,26587,73413,26858,73142,2067,2338,100000,0,100000,0,0,0,-0.0002505994,0.0077808343,0.0080314337,-0.001387157,1.9996608471,2.2962560093
26,31480,68520,31579,68421,2814,2913,100000,0,100000,0,0,0,0.0001974338,0.0077767781,0.0075793443,-0.0014036396,2.0402461985,2.3433407312
27,37162,62838,36760,63240,3632,3230,100000,0,100000,0,0,0,3.52529475471751E-05,0.0074025163,0.0073672634,-0.0012531127,2.0789155343,2.3881394869
28,42755,57245,41890,58110,4593,3728,100000,0,100000,0,0,0,3.28395836022242E-05,0.0071543809,0.0071215413,-0.0012780933,2.1171074899,2.4326975789
29,48370,51630,47176,52824,5367,4173,100000,0,100000,0,0,0,0.0002580684,0.0070736675,0.0068155991,-0.0012933404,2.155826636,2.4769953069
30,54632,45368,52845,47155,6129,4342,100000,0,100000,0,0,0,-0.000038373,0.0066446421,0.0066830151,-0.0013188985,2.1909260327,2.5185118358
31,60783,39217,58630,41370,6931,4778,100000,0,100000,0,0,0,0.0002909455,0.0065032836,0.006212338,-0.0010276266,2.2283733421,2.561345196
32,66558,33442,63955,36045,7334,4731,100000,0,100000,0,0,0,-0.000013136,0.0060572384,0.0060703744,-0.0012825512,2.2629535202,2.6021856322
33,72024,27976,68961,31039,7683,4620,100000,0,100000,0,0,0,-4.24118586575325E-05,0.0058419676,0.0058843795,-0.0011917123,2.2980472284,2.6423922114
34,77248,22752,73955,26045,7681,4388,100000,0,100000,0,0,0,7.88674655103404E-05,0.0059879017,0.0059090343,-0.0009748663,2.3338454028,2.6835110991
35,81863,18137,78344,21656,7495,3976,100000,0,100000,0,0,0,-2.07276253891927E-05,0.0057011943,0.0057219219,-0.0009655872,2.3659176711,2.7218568811
36,85967,14033,82461,17539,6930,3424,100000,0,100000,0,0,0,-0.00011238,0.0053998691,0.0055122491,-0.0010219943,2.3993930948,2.7604390654
37,89195,10805,85782,14218,6372,2959,100000,0,100000,0,0,0,-1.95619270401877E-05,0.0054847703,0.0055043322,-0.0008952266,2.4338713828,2.7999798406
38,92185,7815,88987,11013,5636,2438,100000,0,100000,0,0,0,-4.09792130350507E-05,0.0054390185,0.0054799977,-0.0008047412,2.4662764986,2.8378147312
39,94507,5493,91681,8319,4719,1893,100000,0,100000,0,0,0,0.000054247,0.005272582,0.005218335,-0.0009645744,2.4982949326,2.8750277613
40,96011,3989,93577,6423,3960,1526,100000,0,100000,0,0,0,5.08167617521602E-06,0.0051641641,0.0051590824,-0.0009116624,2.5292718747,2.9108909916
41,97385,2615,95356,4644,3158,1129,100000,0,100000,0,0,0,6.90537610809339E-05,0.0049515558,0.0048825021,-0.0007509221,2.5602245737,2.946953618
42,98272,1728,96661,3339,2395,784,100000,0,100000,0,0,0,-1.52655663276601E-05,0.0047713069,0.0047865725,-0.0008400572,2.5923737041,2.9839835791
43,98914,1086,97653,2347,1801,540,100000,0,100000,0,0,0,-9.81831846012321E-05,0.0048208318,0.0049190149,-0.0009059329,2.6239643913,3.0203246928
44,99332,668,98469,1531,1249,386,100000,0,100000,0,0,0,9.3179497933217E-05,0.0046280311,0.0045348516,-0.0008514932,2.653175016,3.0542760411
45,99624,376,98974,1026,888,238,100000,0,100000,0,0,0,7.64163812561624E-05,0.0045350249,0.0044586085,-0.0008170039,2.6817984382,3.0879869633
46,99789,211,99342,658,589,142,100000,0,100000,0,0,0,0.0001375355,0.0044625769,0.0043250415,-0.0006217298,2.7130237161,3.1235682907
47,99882,118,99574,426,382,74,100000,0,100000,0,0,0,0.0002033968,0.0044664638,0.004263067,-0.0005497463,2.7427220524,3.1577000634
48,99951,49,99755,245,224,28,100000,0,100000,0,0,0,-1.14336894470372E-05,0.0041953356,0.0042067693,-0.00074876,2.7706757524,3.1904517691
49,99975,25,99884,116,108,17,100000,0,100000,0,0,0,0.0001522495,0.0041141636,0.0039619141,-0.0006242407,2.8009880615,3.2250142328
50,99978,22,99902,98,91,15,100000,0,100000,0,0,0,-4.25937119518535E-05,0.0040290558,0.0040716495,-0.0006220654,2.8268538273,3.2558922714
51,99990,10,99959,41,39,8,100000,0,100000,0,0,0,2.0729693987404E-05,0.0039410997,0.00392037,-0.0007336946,2.8558604762,3.2896117766
52,99997,3,99983,17,16,2,100000,0,100000,0,0,0,0.0001768457,0.0040047623,0.0038279166,-0.0007172459,2.8841965633,3.3217883375
53,99999,1,99988,12,12,1,100000,0,100000,0,0,0,0.000040722,0.0038648405,0.0038241184,-0.0006796359,2.9110908193,3.3534543911
54,100000,0,99994,6,6,0,100000,0,100000,0,0,0,-0.0001182462,0.0036383234,0.0037565696,-0.0006524431,2.9403306841,3.3867182045
55,100000,0,99999,1,1,0,100000,0,100000,0,0,0,-0.0001208366,0.0035737309,0.0036945675,-0.0006666592,2.9659439436,3.4168314412
56,100000,0,99999,1,1,0,100000,0,100000,0,0,0,-3.53323702801654E-05,0.0035640626,0.0035993949,-0.0005727557,2.9936081686,3.4483552922
57,100000,0,99999,1,1,0,100000,0,100000,0,0,0,6.54187155914214E-06,0.0035747078,0.003568166,-0.0007695112,3.0194177326,3.4786510333
58,100000,0,100000,0,0,0,100000,0,100000,0,0,0,-7.959090762779E-06,0.0034584286,0.0034663877,-0.0005677352,3.0459467128,3.5095525129
59,100000,0,100000,0,0,0,100000,0,100000,0,0,0,8.7817616613838E-05,0.0034519142,0.0033640966,-0.0006273718,3.0727765396,3.5403223484
60,100000,0,100000,0,0,0,100000,0,100000,0,0,0,3.26713176403445E-05,0.0033564374,0.003323766,-0.000686799,3.0987457754,3.5701280536
