N,A0_unstable,A0_stable,A1_unstable,A1_stable,A1_stabilised,A1_destabilised,A0_infeasible,A0_feasible,A1_infeasible,A1_feasible,A1_made_feasible,A1_made_infeasible,A0_rho,A1_rho,rho_diff,rho_abs,complex_A0,complex_A1
1,0,100000,0,100000,0,0,50406,49594,50406,49594,0,0,NA,NA,NA,NA,NA,NA
2,0,100000,0,100000,0,0,75209,24791,75154,24846,3607,3552,NA,NA,NA,NA,0.6400523544,0.6403326212
3,0,100000,0,100000,0,0,88142,11858,87764,12236,4105,3727,0.0021993867,0.0536784205,0.0514790338,-0.006444852,0.7054223157,0.7524291237
4,0,100000,0,100000,0,0,94955,5045,94575,5425,2852,2472,0.0013073935,0.0459412719,0.0446338784,-0.0098655805,0.8066130157,0.8833216657
5,2,99998,2,99998,0,0,98087,1913,97697,2303,1585,1195,-0.0001794985,0.0370987273,0.0372782258,-0.0071988543,0.8969969166,0.9960824142
6,5,99995,5,99995,0,0,99361,639,99152,848,677,468,0.0002659743,0.0326175712,0.032351597,-0.0063774808,0.9823707262,1.0998304415
7,14,99986,14,99986,0,0,99832,168,99743,257,232,143,0.000575356,0.0275135749,0.0269382189,-0.0066679263,1.0601114048,1.1940482178
8,36,99964,37,99963,0,1,99957,43,99901,99,94,38,0.0001885879,0.0242963066,0.0241077187,-0.0056144118,1.1331326977,1.2807742868
9,69,99931,69,99931,0,0,99985,15,99977,23,23,15,-0.0003652332,0.0216453487,0.022010582,-0.0046603095,1.201411092,1.3623136727
10,145,99855,147,99853,0,2,99999,1,99998,2,2,1,0.000899497,0.020055695,0.019156198,-0.0041368341,1.2662081198,1.4387018378
11,261,99739,265,99735,0,4,99999,1,99999,1,1,1,0.000380198,0.0176501013,0.0172699033,-0.0038504257,1.327995059,1.51178511
12,443,99557,451,99549,0,8,100000,0,100000,0,0,0,0.0007521622,0.0168185849,0.0160664226,-0.0030735048,1.3851773206,1.5790142921
13,738,99262,757,99243,0,19,100000,0,100000,0,0,0,-0.0003782015,0.015020276,0.0153984775,-0.0029422609,1.4408605182,1.6448374161
14,1232,98768,1266,98734,1,35,100000,0,100000,0,0,0,-0.0003681356,0.0139134825,0.0142816181,-0.0029403206,1.4967495572,1.7099638892
15,1884,98116,1911,98089,8,35,100000,0,100000,0,0,0,0.0004564998,0.0136137284,0.0131572286,-0.0023127938,1.549402784,1.7713893477
16,2671,97329,2756,97244,16,101,100000,0,100000,0,0,0,0.0001608525,0.012340345,0.0121794925,-0.002311267,1.6005291663,1.8313178276
17,3830,96170,3953,96047,38,161,100000,0,100000,0,0,0,0.0003874371,0.0118700615,0.0114826244,-0.002574446,1.6499528823,1.8894924471
18,5189,94811,5368,94632,66,245,100000,0,100000,0,0,0,-6.97231780952214E-05,0.0109105089,0.0109802321,-0.0020678619,1.6982010874,1.945003016
19,6998,93002,7187,92813,163,352,100000,0,100000,0,0,0,-3.96130611314605E-05,0.0104114884,0.0104511014,-0.0020019595,1.744019456,1.9988630223
20,9416,90584,9689,90311,255,528,100000,0,100000,0,0,0,-0.0002180925,0.0097117625,0.009929855,-0.0020223067,1.7891667667,2.0517592401
21,11584,88416,11932,88068,436,784,100000,0,100000,0,0,0,0.0001451111,0.0099582224,0.0098131114,-0.0017637628,1.8319787068,2.1016050497
22,14924,85076,15330,84670,676,1082,100000,0,100000,0,0,0,0.0001900203,0.0091019833,0.008911963,-0.0016311656,1.8771543265,2.1536173019
23,18079,81921,18567,81433,988,1476,100000,0,100000,0,0,0,4.96187868312994E-05,0.0085234319,0.0084738131,-0.0014558061,1.9185818436,2.2020880085
24,22515,77485,22848,77152,1522,1855,100000,0,100000,0,0,0,0.0003746727,0.0081623738,0.0077877011,-0.0017631151,1.9597130681,2.2495082447
25,26813,73187,27055,72945,2089,2331,100000,0,100000,0,0,0,-2.4628221272482E-05,0.0081285422,0.0081531704,-0.001483418,2.0004689272,2.2966906943
26,31675,68325,31741,68259,2730,2796,100000,0,100000,0,0,0,-0.0001432881,0.0073196995,0.0074629876,-0.0016713955,2.0406640737,2.3436217383
27,36778,63222,36501,63499,3642,3365,100000,0,100000,0,0,0,-0.0001993957,0.0071722817,0.0073716774,-0.0013158972,2.0779316026,2.3870941684
28,42721,57279,41838,58162,4545,3662,100000,0,100000,0,0,0,6.69475422600977E-05,0.0071347727,0.0070678252,-0.0015764792,2.1179690927,2.4334382459
29,48765,51235,47705,52295,5365,4305,100000,0,100000,0,0,0,0.000152158,0.007195075,0.0070429171,-0.0013072971,2.1534256721,2.4751125379
30,54533,45467,52752,47248,6269,4488,100000,0,100000,0,0,0,6.98661065311871E-05,0.0065674947,0.0064976286,-0.0012064016,2.192386713,2.5199134876
31,60539,39461,58435,41565,6874,4770,100000,0,100000,0,0,0,2.00137882732443E-05,0.0066510009,0.0066309871,-0.0012697637,2.2270174841,2.5603010212
32,66483,33517,63738,36262,7338,4593,100000,0,100000,0,0,0,9.013277678875E-05,0.0062957276,0.0062055948,-0.0010246502,2.2626207246,2.6016837719
33,71770,28230,68774,31226,7570,4574,100000,0,100000,0,0,0,0.0001225169,0.0061758812,0.0060533643,-0.0010916602,2.2976131905,2.6423162378
34,77098,22902,73731,26269,7783,4416,100000,0,100000,0,0,0,-0.0002740405,0.005575485,0.0058495255,-0.0010720953,2.3329414326,2.6831219679
35,81933,18067,78446,21554,7443,3956,100000,0,100000,0,0,0,0.0002067699,0.0058204551,0.0056136852,-0.0009225463,2.3663493858,2.721945242
36,85822,14178,82348,17652,6991,3517,100000,0,100000,0,0,0,-1.24159157196364E-05,0.0052685107,0.0052809266,-0.0009864946,2.4005087161,2.7612214426
37,89327,10673,85963,14037,6402,3038,100000,0,100000,0,0,0,0.0001499513,0.0054310188,0.0052810675,-0.0008039924,2.4326924269,2.7990154664
38,92170,7830,89127,10873,5539,2496,100000,0,100000,0,0,0,0.0001240224,0.0053048787,0.0051808563,-0.0008779616,2.4651134019,2.8367373556
39,94263,5737,91547,8453,4756,2040,100000,0,100000,0,0,0,-0.0001461665,0.005108521,0.0052546876,-0.0009721364,2.4975894878,2.873794666
40,96078,3922,93598,6402,3930,1450,100000,0,100000,0,0,0,-0.0001666382,0.0048863904,0.0050530285,-0.0009934707,2.529028957,2.9103544188
41,97366,2634,95310,4690,3199,1143,100000,0,100000,0,0,0,-0.0001125343,0.0048681049,0.0049806393,-0.0008357212,2.5618362117,2.9482528892
42,98311,1689,96789,3211,2317,795,100000,0,100000,0,0,0,4.97098610207015E-05,0.0048831622,0.0048334524,-0.0010818519,2.5937477868,2.9853813106
43,98912,1088,97572,2428,1868,528,100000,0,100000,0,0,0,-9.21076032532636E-05,0.0046682753,0.0047603829,-0.0007619266,2.6231296336,3.0195084175
44,99373,627,98461,1539,1241,329,100000,0,100000,0,0,0,-0.000088515,0.0045073773,0.0045958923,-0.0007736882,2.6532094957,3.0550790401
45,99614,386,98898,1102,925,209,100000,0,100000,0,0,0,-0.000104096,0.004431335,0.004535431,-0.0006853589,2.6835075251,3.0893852485
46,99789,211,99319,681,590,120,100000,0,100000,0,0,0,0.0001400999,0.0044031485,0.0042630487,-0.0007296033,2.7128565341,3.1231569811
47,99860,140,99589,411,360,89,100000,0,100000,0,0,0,-5.01188565086271E-05,0.0042108143,0.0042609332,-0.0007477238,2.741670498,3.1567533126
48,99949,51,99731,269,254,36,100000,0,100000,0,0,0,-0.000068115,0.0041029416,0.0041710566,-0.0008303311,2.772543629,3.192238748
49,99965,35,99834,166,160,29,100000,0,100000,0,0,0,-1.83344668167667E-06,0.0042036583,0.0042054917,-0.000801424,2.7999748715,3.2242712687
50,99989,11,99909,91,88,8,100000,0,100000,0,0,0,1.1310603484809E-05,0.0039861603,0.0039748497,-0.0007742874,2.8296904502,3.2586160144
51,99995,5,99964,36,34,3,100000,0,100000,0,0,0,-0.000007175,0.0040053388,0.0040125138,-0.0006897727,2.8563559747,3.2899530083
52,99997,3,99972,28,26,1,100000,0,100000,0,0,0,0.0001610574,0.0039461102,0.0037850528,-0.0006376296,2.8842818481,3.3219244573
53,99998,2,99990,10,9,1,100000,0,100000,0,0,0,5.33435405467667E-05,0.0037769086,0.0037235651,-0.0007212034,2.9113551846,3.3537913916
54,100000,0,99991,9,9,0,100000,0,100000,0,0,0,-0.000115994,0.003649275,0.0037652689,-0.0005956127,2.9406258766,3.3871727298
55,100000,0,99999,1,1,0,100000,0,100000,0,0,0,-7.46701549857505E-05,0.0036066587,0.0036813289,-0.0006563498,2.9661392093,3.4170123348
56,99999,1,99999,1,1,1,100000,0,100000,0,0,0,8.9238400200781E-05,0.0036571567,0.0035679183,-0.0007012593,2.9933043559,3.448017266
57,100000,0,100000,0,0,0,100000,0,100000,0,0,0,2.88163374040693E-05,0.0034342246,0.0034054083,-0.0006272712,3.018849183,3.4780795059
58,100000,0,100000,0,0,0,100000,0,100000,0,0,0,-0.000146145,0.0034026582,0.0035488033,-0.000625892,3.0452376333,3.5085299646
59,100000,0,100000,0,0,0,100000,0,100000,0,0,0,-3.23776361721213E-05,0.0034931439,0.0035255215,-0.000668248,3.0726372915,3.5397209692
60,100000,0,100000,0,0,0,100000,0,100000,0,0,0,7.03720632626876E-05,0.0033285872,0.0032582152,-0.0006226861,3.0988527994,3.5701288381
