N,A0_unstable,A0_stable,A1_unstable,A1_stable,A1_stabilised,A1_destabilised,A0_infeasible,A0_feasible,A1_infeasible,A1_feasible,A1_made_feasible,A1_made_infeasible,A0_rho,A1_rho,rho_diff,rho_abs,complex_A0,complex_A1,A0_eig,A1_eig,LCI_A0,UCI_A0,LCI_A1,UCI_A1
1,0,100000,0,100000,0,0,49952,50048,49952,50048,0,0,NA,NA,NA,NA,NA,NA,-0.9991793758,-0.9991793758,-1.9999588793,-1.43921934068203E-05,-1.9999588793,-1.43921934068203E-05
2,0,100000,0,100000,0,0,74917,25083,74886,25114,3664,3633,NA,NA,NA,NA,0.638322453,0.6388739513,-1.0014069543,-0.7543023672,-1.9957375554,-0.0050843845,-1.9957375554,-1.28764105453586E-06
3,0,100000,0,100000,0,0,88004,11996,87765,12235,4022,3783,-0.0022621186,0.0497988534,0.0520609719,-0.0061346079,0.7048409687,0.7521725491,-0.9134290636,-0.583139699,-1.9542289967,-0.022079399,-1.954897243,-5.0040994122591E-06
4,1,99999,1,99999,0,0,94949,5051,94459,5541,2908,2418,0.002241878,0.0468735826,0.0446317047,-0.0099066488,0.8066124333,0.88216959,-0.8568728665,-0.4757664674,-1.8825135766,0.0367401114,-1.8909426643,0.015611474
5,3,99997,3,99997,0,0,98098,1902,97742,2258,1576,1220,5.79513520121699E-05,0.0367880531,0.0367301018,-0.0087278296,0.8971364501,0.9967903186,-0.8003252877,-0.3951141739,-1.7423701635,0.192833273,-1.7391593977,0.2233309115
6,5,99995,6,99994,0,1,99385,615,99163,837,690,468,-0.0004131007,0.0316097458,0.0320228465,-0.0075752235,0.982488313,1.1001843414,-0.7499654095,-0.3374020792,-1.7124154077,0.1907607363,-1.6868682831,0.1829753201
7,14,99986,14,99986,0,0,99797,203,99732,268,236,171,-0.0004608524,0.0276916607,0.0281525131,-0.0058064581,1.060196376,1.1938773347,-0.7015977328,-0.2928437606,-1.5876772803,0.1945631975,-1.5823209839,0.1444692083
8,33,99967,33,99967,0,0,99941,59,99927,73,68,54,-0.0009172703,0.0230814533,0.0239987236,-0.0055361723,1.1332728221,1.2810230434,-0.6562844576,-0.2569070878,-1.4706354048,0.2661466713,-1.461632177,0.2435195215
9,64,99936,68,99932,0,4,99992,8,99982,18,18,8,0.0002617926,0.0219885139,0.0217267213,-0.0040175446,1.2011780994,1.3618064066,-0.6120193996,-0.2281542646,-1.4403788818,0.1786447817,-1.323588881,0.1166421631
10,136,99864,137,99863,0,1,99999,1,99994,6,6,1,0.0004595668,0.0197504292,0.0192908624,-0.0039764739,1.2671813237,1.4394811141,-0.5705015166,-0.2033398797,-1.3206376625,0.3299523449,-1.231265186,0.2741257629
