N,A0_unstable,A0_stable,A1_unstable,A1_stable,A1_stabilised,A1_destabilised,A0_infeasible,A0_feasible,A1_infeasible,A1_feasible,A1_made_feasible,A1_made_infeasible,A0_rho,A1_rho,rho_diff,rho_abs,complex_A0,complex_A1,A0_eig,A1_eig,LCI_A0,UCI_A0,LCI_A1,UCI_A1
26,31811,68189,31809,68191,2818,2816,100000,0,100000,0,0,0,9.81067458706048E-05,0.0075888938,0.007490787,-0.00142876,2.0389864082,2.3422140679,-0.0640933887,-0.0106284606,-0.6210178857,0.8533705512,-0.4620663203,0.7978931347
27,37029,62971,36740,63260,3559,3270,100000,0,100000,0,0,0,0.0001977942,0.0076243397,0.0074265456,-0.0014169868,2.079154141,2.3888774965,-0.039705478,8.14683177536586E-05,-0.5933949058,0.8545175431,-0.4714551388,0.8691380689
28,42532,57468,41831,58169,4434,3733,100000,0,100000,0,0,0,-1.98162385761666E-05,0.0073442609,0.0073640772,-0.0015818222,2.1166423935,2.432367319,-0.0155233404,0.0100892668,-0.5815148091,0.9334357828,-0.4283008886,1.1305257577
29,48452,51548,47332,52668,5275,4155,100000,0,100000,0,0,0,-5.71172827439695E-05,0.0069573138,0.0070144311,-0.0010497796,2.1551764154,2.4762746272,0.0089523494,0.0217042949,-0.5317585396,0.892390637,-0.3284307533,0.9383217544
30,54290,45710,52866,47134,6023,4599,100000,0,100000,0,0,0,5.72411051352233E-05,0.0068513477,0.0067941066,-0.0010786014,2.1914063665,2.5189376291,0.0324975136,0.033623934,-0.5833568893,1.1468751914,-0.3435440012,1.2053789371
31,60621,39379,58671,41329,6628,4678,100000,0,100000,0,0,0,1.31374884496098E-05,0.0065354955,0.006522358,-0.0012980941,2.2258682372,2.5591270857,0.056848582,0.0465008178,-0.4618999771,0.8618467068,-0.3346879446,0.9640051103
32,66722,33278,63917,36083,7420,4615,100000,0,100000,0,0,0,-0.0001325549,0.0062134198,0.0063459746,-0.0012826433,2.2625726755,2.6012904264,0.0792792003,0.0585385114,-0.4823909163,1.4357623881,-0.3104036144,1.0880861133
33,72027,27973,69057,30943,7551,4581,100000,0,100000,0,0,0,-3.23478762845567E-05,0.0060220488,0.0060543966,-0.0010950767,2.2977410684,2.6428061994,0.1011549975,0.0710162699,-0.4438925289,1.0111854647,-0.2815601667,1.0551697222
34,76919,23081,73688,26312,7643,4412,100000,0,100000,0,0,0,0.0002203746,0.0060589146,0.0058385401,-0.0010936365,2.3312290584,2.6814432904,0.1230340848,0.0846651186,-0.4270360325,1.1326279218,-0.2410019966,1.1815355519
35,81694,18306,78440,21560,7310,4056,100000,0,100000,0,0,0,0.0003024803,0.0058692951,0.0055668148,-0.0010351546,2.3674848648,2.7229219834,0.1455887009,0.0988975234,-0.4060912153,0.9705635611,-0.2790075684,1.0615357616
36,85628,14372,82290,17710,6921,3583,100000,0,100000,0,0,0,0.0001758001,0.005772442,0.0055966418,-0.0010388515,2.3988729675,2.759914347,0.1660158977,0.1123022409,-0.3671544565,1.1185836258,-0.2157759256,1.044607629
37,89284,10716,85853,14147,6427,2996,100000,0,100000,0,0,0,-1.40573698443698E-05,0.0054880581,0.0055021155,-0.0010644444,2.433778105,2.7998597037,0.1883166158,0.127294109,-0.3494063814,1.1802162693,-0.2102873206,1.0971357727
38,92094,7906,88997,11003,5553,2456,100000,0,100000,0,0,0,0.0001336339,0.0054717782,0.0053381443,-0.0009575152,2.4657548848,2.8368754958,0.2082330037,0.1412005618,-0.2867492008,1.2651935983,-0.1827473309,1.3165045109
39,94508,5492,91779,8221,4738,2009,100000,0,100000,0,0,0,9.98430569462111E-05,0.0051595716,0.0050597285,-0.0008693133,2.4969790713,2.8733200536,0.229112048,0.1562301903,-0.2941012029,1.2347730444,-0.1735909693,1.2410933121
40,96165,3835,93709,6291,3980,1524,100000,0,100000,0,0,0,6.94832292158175E-05,0.00497169,0.0049022067,-0.0008947187,2.5308080866,2.9125491561,0.2495814406,0.1717888643,-0.2746228387,1.1533618296,-0.1741284812,1.1232896029
