"","N","A0_unstable","A0_stable","A1_unstable","A1_stable","A1_stabilised","A1_destabilised","A0_infeasible","A0_feasible","A1_infeasible","A1_feasible","A1_made_feasible","A1_made_infeasible"
"83",83,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0
"84",84,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0
"85",85,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0
"86",86,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0
"87",87,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0
"88",88,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0
"89",89,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0
"90",90,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0
"91",91,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0
"92",92,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0
"93",93,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0
"94",94,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0
"95",95,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0
"96",96,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0
"97",97,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0
"98",98,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0
"99",99,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0
"100",100,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0
