"","N","A0_unstable","A0_stable","A1_unstable","A1_stable","A1_stabilised","A1_destabilised","A0_infeasible","A0_feasible","A1_infeasible","A1_feasible","A1_made_feasible","A1_made_infeasible"
"1",2,5,99995,5,99995,0,0,75110,24890,75113,24887,1063,1066
"2",3,6,99994,6,99994,0,0,87526,12474,87670,12330,1421,1565
"3",4,24,99976,24,99976,0,0,93713,6287,93772,6228,1385,1444
"4",5,59,99941,59,99941,0,0,96929,3071,96840,3160,1088,999
"5",6,98,99902,98,99902,0,0,98492,1508,98417,1583,710,635
"6",7,160,99840,161,99839,0,1,99243,757,99219,781,426,402
"7",8,290,99710,293,99707,0,3,99582,418,99575,425,276,269
"8",9,430,99570,434,99566,0,4,99821,179,99807,193,134,120
"9",10,648,99352,653,99347,1,6,99895,105,99912,88,66,83
"10",11,946,99054,957,99043,0,11,99945,55,99943,57,51,49
"11",12,1392,98608,1415,98585,4,27,99978,22,99982,18,17,21
"12",13,2032,97968,2065,97935,5,38,99987,13,99989,11,9,11
"13",14,2627,97373,2688,97312,10,71,99988,12,99993,7,6,11
"14",15,3588,96412,3647,96353,35,94,99996,4,99994,6,5,3
"15",16,5019,94981,5124,94876,51,156,99998,2,99998,2,2,2
"16",17,6512,93488,6673,93327,79,240,99999,1,99999,1,1,1
"17",18,8444,91556,8600,91400,165,321,1e+05,0,1e+05,0,0,0
"18",19,10416,89584,10667,89333,244,495,1e+05,0,99999,1,1,0
"19",20,13254,86746,13477,86523,425,648,1e+05,0,1e+05,0,0,0
"20",21,16248,83752,16481,83519,642,875,1e+05,0,1e+05,0,0,0
"21",22,19497,80503,19719,80281,929,1151,1e+05,0,1e+05,0,0,0
"22",23,23654,76346,23776,76224,1368,1490,1e+05,0,1e+05,0,0,0
"23",24,28485,71515,28389,71611,1914,1818,1e+05,0,1e+05,0,0,0
"24",25,32774,67226,32483,67517,2428,2137,1e+05,0,1e+05,0,0,0
"25",26,38126,61874,37411,62589,3221,2506,1e+05,0,1e+05,0,0,0
"26",27,43435,56565,42418,57582,3828,2811,1e+05,0,1e+05,0,0,0
"27",28,49333,50667,47840,52160,4565,3072,1e+05,0,1e+05,0,0,0
"28",29,55389,44611,53381,46619,5329,3321,1e+05,0,1e+05,0,0,0
"29",30,60826,39174,58388,41612,5918,3480,1e+05,0,1e+05,0,0,0
"30",31,66820,33180,64043,35957,6345,3568,1e+05,0,1e+05,0,0,0
"31",32,72190,27810,69036,30964,6685,3531,1e+05,0,1e+05,0,0,0
"32",33,77053,22947,73587,26413,6826,3360,1e+05,0,1e+05,0,0,0
"33",34,81816,18184,78157,21843,6673,3014,1e+05,0,1e+05,0,0,0
"34",35,85651,14349,82041,17959,6383,2773,1e+05,0,1e+05,0,0,0
"35",36,88985,11015,85657,14343,5721,2393,1e+05,0,1e+05,0,0,0
"36",37,92072,7928,88805,11195,5180,1913,1e+05,0,1e+05,0,0,0
"37",38,94329,5671,91444,8556,4451,1566,1e+05,0,1e+05,0,0,0
"38",39,95912,4088,93295,6705,3804,1187,1e+05,0,1e+05,0,0,0
"39",40,97232,2768,95201,4799,2967,936,1e+05,0,1e+05,0,0,0
"40",41,98179,1821,96506,3494,2356,683,1e+05,0,1e+05,0,0,0
"41",42,98826,1174,97489,2511,1786,449,1e+05,0,1e+05,0,0,0
"42",43,99275,725,98312,1688,1251,288,1e+05,0,1e+05,0,0,0
"43",44,99583,417,98872,1128,903,192,1e+05,0,1e+05,0,0,0
"44",45,99776,224,99339,661,576,139,1e+05,0,1e+05,0,0,0
"45",46,99865,135,99518,482,413,66,1e+05,0,1e+05,0,0,0
"46",47,99938,62,99744,256,226,32,1e+05,0,1e+05,0,0,0
"47",48,99956,44,99824,176,151,19,1e+05,0,1e+05,0,0,0
"48",49,99980,20,99914,86,85,19,1e+05,0,1e+05,0,0,0
"49",50,99993,7,99950,50,46,3,1e+05,0,1e+05,0,0,0
"50",51,99998,2,99971,29,28,1,1e+05,0,1e+05,0,0,0
"51",52,99998,2,99986,14,14,2,1e+05,0,1e+05,0,0,0
"52",53,99999,1,99992,8,7,0,1e+05,0,1e+05,0,0,0
"53",54,1e+05,0,99997,3,3,0,1e+05,0,1e+05,0,0,0
"54",55,1e+05,0,99999,1,1,0,1e+05,0,1e+05,0,0,0
"55",56,1e+05,0,99998,2,2,0,1e+05,0,1e+05,0,0,0
"56",57,1e+05,0,99999,1,1,0,1e+05,0,1e+05,0,0,0
"57",58,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0
"58",59,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0
"59",60,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0
"60",61,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0
"61",62,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0
"62",63,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0
"63",64,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0
"64",65,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0
"65",66,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0
"66",67,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0
"67",68,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0
"68",69,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0
"69",70,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0
"70",71,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0
"71",72,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0
"72",73,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0
"73",74,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0
"74",75,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0
"75",76,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0
"76",77,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0
"77",78,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0
"78",79,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0
"79",80,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0
"80",81,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0
"81",82,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0
"82",83,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0
"83",84,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0
"84",85,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0
"85",86,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0
"86",87,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0
"87",88,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0
"88",89,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0
"89",90,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0
"90",91,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0
"91",92,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0
"92",93,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0
"93",94,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0
"94",95,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0
"95",96,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0
"96",97,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0
"97",98,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0
"98",99,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0
"99",100,1e+05,0,1e+05,0,0,0,1e+05,0,1e+05,0,0,0
