N,A0_unstable,A0_stable,A1_unstable,A1_stable,A1_stabilised,A1_destabilised
2,0,10000,0,10000,0,0
3,33,9967,33,9967,0,0
4,132,9868,132,9868,0,0
5,377,9623,374,9626,3,0
6,851,9149,843,9157,8,0
7,1349,8651,1303,8697,46,0
8,2067,7933,1910,8090,157,0
9,2909,7091,2531,7469,378,0
10,3851,6149,3159,6841,692,0
11,4814,5186,3624,6376,1190,0
12,5780,4220,4006,5994,1774,0
13,6880,3120,4477,5523,2403,0
14,7772,2228,4695,5305,3077,0
15,8458,1542,4959,5041,3499,0
16,9042,958,5258,4742,3784,0
17,9454,546,5465,4535,3989,0
18,9686,314,5602,4398,4084,0
19,9850,150,5800,4200,4050,0
20,9942,58,5972,4028,3970,0
21,9964,36,6437,3563,3527,0
22,9986,14,6633,3367,3353,0
23,9998,2,7067,2933,2931,0
24,10000,0,7373,2627,2627,0
25,9999,1,7833,2167,2166,0
26,10000,0,8236,1764,1764,0
27,10000,0,8621,1379,1379,0
28,10000,0,9007,993,993,0
29,10000,0,9302,698,698,0
30,10000,0,9538,462,462,0
31,10000,0,9673,327,327,0
32,10000,0,9809,191,191,0
33,10000,0,9878,122,122,0
34,10000,0,9930,70,70,0
35,10000,0,9973,27,27,0
36,10000,0,9983,17,17,0
37,10000,0,9988,12,12,0
38,10000,0,9999,1,1,0
39,10000,0,9998,2,2,0
40,10000,0,9998,2,2,0
