N,A0_unstable,A0_stable,A1_unstable,A1_stable,A1_stabilised,A1_destabilised
2,5,9995,5,9995,0,0
3,42,9958,42,9958,0,0
4,156,9844,156,9844,0,0
5,389,9611,389,9611,0,0
6,829,9171,813,9187,16,0
7,1320,8680,1270,8730,51,1
8,2110,7890,1946,8054,164,0
9,2916,7084,2518,7482,398,0
10,3781,6219,3024,6976,757,0
11,4861,5139,3606,6394,1255,0
12,5900,4100,4081,5919,1819,0
13,6974,3026,4547,5453,2427,0
14,7814,2186,4766,5234,3049,1
15,8529,1471,5054,4946,3476,1
16,9046,954,5277,4723,3769,0
17,9467,533,5384,4616,4083,0
18,9712,288,5559,4441,4153,0
19,9864,136,5825,4175,4039,0
20,9924,76,5957,4043,3967,0
21,9968,32,6349,3651,3619,0
22,9983,17,6689,3311,3294,0
23,9996,4,7042,2958,2954,0
24,9999,1,7454,2546,2545,0
25,9998,2,7879,2121,2119,0
26,10000,0,8254,1746,1746,0
27,10000,0,8664,1336,1336,0
28,10000,0,8957,1043,1043,0
29,10000,0,9254,746,746,0
30,10000,0,9502,498,498,0
31,10000,0,9695,305,305,0
32,10000,0,9810,190,190,0
33,10000,0,9891,109,109,0
34,10000,0,9932,68,68,0
35,10000,0,9968,32,32,0
36,10000,0,9986,14,14,0
37,10000,0,9995,5,5,0
38,10000,0,9994,6,6,0
39,10000,0,10000,0,0,0
40,10000,0,10000,0,0,0
