rho_set,A0_unstable,A0_stable,A1_unstable,A1_stable,A1_stabilised,A1_destabilised,A0_infeasible,A0_feasible,A1_infeasible,A1_feasible,A1_made_feasible,A1_made_infeasible,A0_rho,A1_rho,rho_diff,rho_abs,complex_A0,complex_A1,A0_eig,A1_eig,LCI_A0,UCI_A0,LCI_A1,UCI_A1
-0.9,0,10000,0,10000,0,0,10000,0,10000,0,0,0,-0.9,-0.673386426769355,0.226613573230645,-0.226613573230645,1.18139293916578,1.36040359791254,-0.857821938826212,-0.097257057717333,-1.21798397295816,-0.409326521228293,-0.714869255878715,-3.28942888090447E-06
-0.85,0,10000,0,10000,0,0,10000,0,10000,0,0,0,-0.85,-0.636298542278272,0.213701457721728,-0.213701457721728,1.18325842918849,1.3625901414044,-0.806879815713839,-0.094914861802807,-1.13060683375659,-0.416211345489596,-0.731439576951234,-6.81876980718154E-06
-0.8,0,10000,0,10000,0,0,10000,0,10000,0,0,0,-0.8,-0.598980436068419,0.201019563931581,-0.201019563931581,1.18272461727593,1.36120903206849,-0.753851561080277,-0.094665190785082,-1.06421971252441,-0.189345133406568,-0.670743646631435,-4.44087627381414E-06
-0.75,0,10000,0,10000,0,0,10000,0,10000,0,0,0,-0.75,-0.561480109699406,0.188519890300594,-0.188519890300594,1.18362462319945,1.362595481743,-0.701272129991155,-0.090466441074388,-1.06948821782435,-0.17087886854177,-0.688297506683566,-2.75166168541748E-05
-0.7,0,10000,0,10000,0,0,10000,0,10000,0,0,0,-0.7,-0.524035998401331,0.175964001598669,-0.175964001598669,1.18266207208924,1.36152268785574,-0.64805549399214,-0.088285091081452,-0.989551356407691,-0.245933291340537,-0.681865417556467,-1.69963790357703E-06
-0.65,1,9999,1,9999,0,0,10000,0,10000,0,0,0,-0.65,-0.486542897605587,0.163457102394413,-0.163457102394413,1.18442517182971,1.36315075696676,-0.596419630273194,-0.08533525869456,-0.944217645169415,0.183947337297289,-0.712173137118238,0.071382064720111
-0.6,1,9999,2,9998,0,1,10000,0,10000,0,0,0,-0.6,-0.448975564813343,0.151024435186657,-0.151024435186657,1.18237472122468,1.36170218791163,-0.544915113667775,-0.082469573914267,-0.870754998221045,0.089537844742945,-0.632045041316282,0.033066135473351
-0.55,3,9997,3,9997,0,0,10000,0,10000,0,0,0,-0.55,-0.411916092289926,0.138083907710075,-0.138083907710075,1.18412820376236,1.36383259020791,-0.493998921754749,-0.079298674990037,-0.828052418817541,0.139561679292269,-0.509620376328314,0.079115909313976
-0.5,2,9998,2,9998,0,0,10000,0,10000,0,0,0,-0.5,-0.374299193334765,0.125700806665235,-0.125700806665235,1.18169241929983,1.36171521119129,-0.43959720787525,-0.075662763835713,-0.762104603564553,0.101775790179557,-0.5125202685138,0.04470368254648
-0.45,13,9987,15,9985,0,2,10000,0,10000,0,0,0,-0.45,-0.33666461286506,0.11333538713494,-0.11333538713494,1.18317392410635,1.36231613704975,-0.3885543694543,-0.07124279865239,-0.77657810130487,0.412563772466088,-0.445005884294651,0.351740279651122
-0.4,22,9978,22,9978,0,0,10000,0,10000,0,0,0,-0.4,-0.299312599290791,0.100687400709209,-0.100687400709209,1.18150988932626,1.36025918088719,-0.337357269135324,-0.067877369512277,-0.694884516401565,0.175064111700693,-0.437155611945814,0.128831768093898
-0.35,122,9878,128,9872,1,7,10000,0,10000,0,0,0,-0.35,-0.262257350028968,0.087742649971032,-0.087742649971032,1.18253922689023,1.3626692443562,-0.283470303501002,-0.059758117794122,-0.643507795362364,0.295587057563666,-0.379765305054292,0.279958907314688
-0.3,303,9697,319,9681,4,20,10000,0,10000,0,0,0,-0.3,-0.224411368350791,0.075588631649209,-0.075588631649209,1.18257250748395,1.36160842219405,-0.232537362984811,-0.053632229237464,-0.623483670425022,0.494409228188291,-0.344325595186781,0.389284166557276
-0.25,667,9333,698,9302,20,51,10000,0,10000,0,0,0,-0.25,-0.18743280185782,0.06256719814218,-0.06256719814218,1.18269542651333,1.36209068576283,-0.178511761434055,-0.043512713276395,-0.550696179157287,0.606594735411735,-0.346740344124396,0.370650244394368
-0.2,1309,8691,1348,8652,85,124,10000,0,10000,0,0,0,-0.2,-0.149838057944057,0.050161942055943,-0.050158744901432,1.18260472944159,1.36191996812688,-0.127933467877944,-0.031763187993619,-0.462765705583462,0.501448805595126,-0.321181850768346,0.402950071583142
-0.15,2357,7643,2370,7630,236,249,10000,0,10000,0,0,0,-0.15,-0.112163386948976,0.037836613051024,-0.037834345040215,1.18218437603339,1.36203477187779,-0.076806245805512,-0.017121907382756,-0.393691090374181,0.65851815330832,-0.282093884740598,0.761406636727783
-0.1,3922,6078,3818,6182,439,335,10000,0,10000,0,0,0,-0.1,-0.075258258475882,0.024741741524119,-0.024640848074855,1.184074815253,1.36385654119225,-0.020694716023196,0.003554841085565,-0.381586550049098,0.782939564731285,-0.228442973497886,0.546837835245437
-0.05,5559,4441,5349,4651,675,465,10000,0,10000,0,0,0,-0.05,-0.037381073328999,0.012618926671001,-0.010608812146776,1.18455404181189,1.36337418352125,0.030541711949078,0.027693226356324,-0.306813404694266,0.632937127939138,-0.174833076432144,0.512983627864756
