"","rho_set","A0_unstable","A0_stable","A1_unstable","A1_stable","A1_stabilised","A1_destabilised","A0_infeasible","A0_feasible","A1_infeasible","A1_feasible","A1_made_feasible","A1_made_infeasible","A0_rho","A1_rho","rho_diff","rho_abs","complex_A0","complex_A1","A0_eig","A1_eig","LCI_A0","UCI_A0","LCI_A1","UCI_A1"
"1",-0.9,0,10000,0,10000,0,0,10000,0,10000,0,0,0,-0.9,-0.673919222604631,0.226080777395369,-0.226080777395369,1.09411239196554,1.25856118911218,-0.869503158722872,-0.109878536055605,-1.24002558067785,-0.372352332469303,-0.862796616778991,-2.33405827492129e-05
"2",-0.85,0,10000,0,10000,0,0,10000,0,10000,0,0,0,-0.85,-0.635999386180827,0.214000613819173,-0.214000613819173,1.09768045358501,1.26263611921493,-0.821694789795568,-0.105712028641225,-1.1764340712964,-0.484163807256546,-0.809360584355245,-4.23580991859684e-07
"3",-0.8,0,10000,0,10000,0,0,10000,0,10000,0,0,0,-0.8,-0.598638463387009,0.201361536612991,-0.201361536612991,1.09613241082615,1.26109533180491,-0.772074488025882,-0.103835537402757,-1.18130805501873,-0.160345111796209,-0.82605700066464,-1.97004646919658e-06
"4",-0.75,0,10000,0,10000,0,0,10000,0,10000,0,0,0,-0.75,-0.561486196225784,0.188513803774216,-0.188513803774216,1.09541565757891,1.26036742198729,-0.724830443278226,-0.103040705090377,-1.06266831540966,-0.11896553152143,-0.78017276282863,-3.53059183724161e-06
"5",-0.7,0,10000,0,10000,0,0,10000,0,10000,0,0,0,-0.7,-0.524610462741014,0.175389537258986,-0.175389537258986,1.0959853219788,1.26066673995187,-0.678787305250555,-0.0975747010298677,-1.05583867761068,-0.140478703108648,-0.759714762625018,-3.43837902065912e-06
"6",-0.65,0,10000,0,10000,0,0,10000,0,10000,0,0,0,-0.65,-0.486385608091513,0.163614391908487,-0.163614391908487,1.0967298225424,1.26113745497919,-0.630052964695044,-0.0982430909829471,-0.984671302394202,-0.118121454710312,-0.683132579437928,-1.14783367502356e-05
"7",-0.6,0,10000,0,10000,0,0,10000,0,10000,0,0,0,-0.6,-0.449356333303285,0.150643666696715,-0.150643666696715,1.09608827295176,1.26118256442039,-0.583073222458717,-0.0937121896998381,-0.941224231040499,-0.0486101045384895,-0.616995165866648,-1.44417089756975e-05
"8",-0.55,1,9999,1,9999,0,0,10000,0,10000,0,0,0,-0.55,-0.41165464428167,0.13834535571833,-0.13834535571833,1.0948948720662,1.26039093122972,-0.535077392060004,-0.0893030567291506,-0.919445532844772,0.0252523578886604,-0.700264044360122,0.0180339584559104
"9",-0.5,2,9998,2,9998,0,0,10000,0,10000,0,0,0,-0.5,-0.374618939373011,0.125381060626989,-0.125381060626989,1.09652556678302,1.26170963682262,-0.488779213496983,-0.0865792477395998,-0.830623916702914,0.119027478253901,-0.518438812445829,0.0640966170473756
"10",-0.45,4,9996,5,9995,0,1,10000,0,10000,0,0,0,-0.45,-0.337072575287068,0.112927424712932,-0.112927424712932,1.0947643830037,1.26083007250354,-0.439408186206854,-0.0811551632890334,-0.792477935674056,0.03651874521392,-0.519565267797957,0.0342410650013842
"11",-0.4,17,9983,17,9983,0,0,10000,0,10000,0,0,0,-0.4,-0.299057643689271,0.100942356310729,-0.100942356310729,1.0938906512561,1.2590188562238,-0.391061373294462,-0.0784748326924842,-0.76495463633085,0.288534138851725,-0.485725204426746,0.237213335070806
"12",-0.35,46,9954,47,9953,0,1,10000,0,10000,0,0,0,-0.35,-0.261887073240426,0.0881129267595742,-0.0881129267595742,1.09473990438061,1.26024100592653,-0.344531220009419,-0.0720961544725338,-0.690237330655262,0.290990621894487,-0.493739303118786,0.199735429517214
"13",-0.3,109,9891,113,9887,0,4,10000,0,10000,0,0,0,-0.3,-0.224095289122067,0.0759047108779326,-0.0759047108779326,1.09507487827101,1.26029858531948,-0.296184240685807,-0.0666858158082683,-0.681198266097175,0.501791617113686,-0.464983021885474,0.179952301012397
"14",-0.25,261,9739,273,9727,0,12,10000,0,10000,0,0,0,-0.25,-0.187087469401434,0.0629125305985663,-0.0629125305985663,1.09408535531533,1.25994641788876,-0.248230171845795,-0.0594658037314646,-0.609226183544122,0.544127614420851,-0.419876368956062,0.417886883763546
"15",-0.2,587,9413,608,9392,12,33,10000,0,10000,0,0,0,-0.2,-0.149693958583527,0.0503060414164727,-0.0503060414164727,1.09228483044386,1.25845416564819,-0.198759875162717,-0.0499627585440554,-0.564294686973605,0.529370588874339,-0.414539653795036,0.383941858550203
"16",-0.15,1096,8904,1142,8858,38,84,10000,0,10000,0,0,0,-0.15,-0.112141005822252,0.0378589941777484,-0.0378409951088614,1.09495973890935,1.26063530499818,-0.151502961460855,-0.0387435045731729,-0.560669850772167,0.453153491071701,-0.316133220136495,0.430509599273219
"17",-0.1,1851,8149,1869,8131,121,139,10000,0,10000,0,0,0,-0.1,-0.0745540575598933,0.0254459424401067,-0.0251985697546384,1.09333181944411,1.2586031446063,-0.106069836082854,-0.0265387390345411,-0.464237722908887,0.702488609498469,-0.275993374031455,0.606975214164381
"18",-0.0499999999999999,2928,7072,2879,7121,268,219,10000,0,10000,0,0,0,-0.0499999999999999,-0.0373430300324318,0.0126569699675681,-0.00901290753397526,1.09682664779972,1.26153258244403,-0.0575109936530825,-0.0106939058302946,-0.430961335564743,0.861331922206177,-0.274634355499865,0.635635814441109
"19",0,4375,5625,4264,5736,446,335,10000,0,10000,0,0,0,4.18032443947141e-20,-0.000100623684485804,-0.000100623684485804,0.024942581107696,1.0939009994157,1.2596998658627,-0.00836668681513484,0.010311726900482,-0.367352868181129,0.702489905455562,-0.237116249807593,0.650910581915978
"20",0.05,5844,4156,5633,4367,592,381,10000,0,10000,0,0,0,0.05,0.0374048278039981,-0.012595172196002,-0.00871920722916698,1.09544592303908,1.26040197263185,0.0392874858051636,0.0330136835409129,-0.32187620787987,0.628985741683071,-0.231488523583819,0.64226063359049
"21",0.1,7299,2701,6998,3002,678,377,10000,0,10000,0,0,0,0.1,0.0744117955835693,-0.0255882044164306,-0.025295585088839,1.09360778728512,1.2599085600535,0.0887306998462593,0.0615603747401223,-0.282533221324537,0.94706509426995,-0.188839739800931,0.696338969006279
"22",0.15,8554,1446,8194,1806,635,275,10000,0,10000,0,0,0,0.15,0.112116934023773,-0.0378830659762271,-0.0378626355148047,1.09559695294712,1.26083083506615,0.137423781667881,0.0946631401906208,-0.319619282087515,0.922826741274076,-0.150184873870322,1.01648084252856
"23",0.2,9337,663,9040,960,440,143,10000,0,10000,0,0,0,0.2,0.149768309879583,-0.0502316901204174,-0.0502316901204174,1.09236829204859,1.25756295095987,0.185989979110026,0.129654290152584,-0.194274859634988,1.06385621098987,-0.117504589125304,0.845297070892632
"24",0.25,9742,258,9549,451,265,72,10000,0,10000,0,0,0,0.25,0.187066944147783,-0.0629330558522169,-0.0629330558522169,1.09285400911051,1.2590502904197,0.233765882261854,0.166095878258185,-0.211043361054703,1.20074033562631,-0.099294562159908,1.03769439475868
"25",0.3,9907,93,9821,179,119,33,10000,0,10000,0,0,0,0.3,0.224389301302317,-0.0756106986976836,-0.0756106986976836,1.09227804800791,1.25761615845865,0.283458067162433,0.208903668930894,-0.0828625584418932,1.12288183651067,-0.127559379632088,0.947292327146496
