"","rho_set","A0_unstable","A0_stable","A1_unstable","A1_stable","A1_stabilised","A1_destabilised","A0_infeasible","A0_feasible","A1_infeasible","A1_feasible","A1_made_feasible","A1_made_infeasible","A0_rho","A1_rho","rho_diff","rho_abs","complex_A0","complex_A1"
"1",-0.9,0,10000,0,10000,0,0,10000,0,10000,0,0,0,-0.9,-0.673664921008539,0.226335078991461,-0.226335078991461,1.33916296709821,1.543090294203
"2",-0.85,0,10000,0,10000,0,0,10000,0,10000,0,0,0,-0.85,-0.6369479413803,0.2130520586197,-0.2130520586197,1.34112291129015,1.54500640959127
"3",-0.8,0,10000,0,10000,0,0,10000,0,10000,0,0,0,-0.8,-0.599691841219513,0.200308158780487,-0.200308158780487,1.34291934179508,1.54652107404737
"4",-0.75,0,10000,0,10000,0,0,10000,0,10000,0,0,0,-0.75,-0.561835818337131,0.188164181662869,-0.188164181662869,1.3448418784366,1.54869537536072
"5",-0.7,0,10000,0,10000,0,0,10000,0,10000,0,0,0,-0.7,-0.524486010062156,0.175513989937844,-0.175513989937844,1.34091839174734,1.54465798111965
"6",-0.65,0,10000,0,10000,0,0,10000,0,10000,0,0,0,-0.65,-0.486686262139912,0.163313737860088,-0.163313737860088,1.34128114089809,1.54520751586828
"7",-0.6,0,10000,0,10000,0,0,10000,0,10000,0,0,0,-0.6,-0.449866574360755,0.150133425639245,-0.150133425639245,1.34453897017851,1.54821319061539
"8",-0.55,1,9999,1,9999,0,0,10000,0,10000,0,0,0,-0.55,-0.412194804559429,0.137805195440571,-0.137805195440571,1.34255570804977,1.54662713689337
"9",-0.5,12,9988,13,9987,0,1,10000,0,10000,0,0,0,-0.5,-0.374415950751519,0.125584049248481,-0.125584049248481,1.34170550151488,1.5462084400582
"10",-0.45,50,9950,52,9948,0,2,10000,0,10000,0,0,0,-0.45,-0.337412051765937,0.112587948234063,-0.112587948234063,1.3415219567901,1.54571585948297
"11",-0.4,183,9817,191,9809,6,14,10000,0,10000,0,0,0,-0.4,-0.299366382243901,0.100633617756099,-0.100633617756099,1.34176057162584,1.54595878524176
"12",-0.35,574,9426,599,9401,20,45,10000,0,10000,0,0,0,-0.35,-0.261985308078437,0.088014691921563,-0.088014691921563,1.34231045213152,1.54639121525073
