"","rho_set","A0_unstable","A0_stable","A1_unstable","A1_stable","A1_stabilised","A1_destabilised","A0_infeasible","A0_feasible","A1_infeasible","A1_feasible","A1_made_feasible","A1_made_infeasible","A0_rho","A1_rho","rho_diff","rho_abs","complex_A0","complex_A1","A0_eig","A1_eig","LCI_A0","UCI_A0","LCI_A1","UCI_A1"
"1",-0.9,0,10000,0,10000,0,0,10000,0,10000,0,0,0,-0.9,-0.673814392055386,0.226185607944614,-0.226185607944614,0.896469909868475,1.02911493643991,-0.889331072573786,-0.146230845364001,-1.32091869493231,-0.397742791611941,-1.09635427740526,-1.40768005139454e-05
"2",-0.85,0,10000,0,10000,0,0,10000,0,9999,1,1,0,-0.85,-0.636418449156493,0.213581550843507,-0.213581550843507,0.89562236792538,1.02867650052223,-0.852362644946454,-0.139860824430359,-1.27708473625443,-0.23991815494389,-0.919808757948782,-5.09760982763427e-07
"3",-0.8,0,10000,0,10000,0,0,10000,0,10000,0,0,0,-0.8,-0.599181105074364,0.200818894925636,-0.200818894925636,0.895587117043848,1.02865990426859,-0.814616794407708,-0.140969888706811,-1.24491800317381,-0.210308483211434,-1.0843153095261,-2.10801310784727e-05
"4",-0.75,0,10000,0,10000,0,0,9999,1,10000,0,0,1,-0.75,-0.560996419888618,0.189003580111382,-0.189003580111382,0.894966195259412,1.02760371510412,-0.77717744632291,-0.137127887388434,-1.20767477805606,-0.141451621768698,-0.940461017633387,-7.66335574351619e-06
"5",-0.7,0,10000,0,10000,0,0,9999,1,10000,0,0,1,-0.7,-0.522916083329825,0.177083916670175,-0.177083916670175,0.893348528414806,1.02681904656283,-0.739513209232978,-0.131677438146018,-1.20433962528739,-0.0433851694261395,-0.946850346484899,-8.49683230735534e-06
"6",-0.65,0,10000,0,10000,0,0,10000,0,10000,0,0,0,-0.65,-0.486256576036892,0.163743423963108,-0.163743423963108,0.894718382119988,1.02865013429374,-0.704098548545433,-0.128256217427169,-1.12229560280267,-0.0202586786276121,-0.987132513920783,-5.75087310774382e-05
"7",-0.6,1,9999,1,9999,0,0,10000,0,10000,0,0,0,-0.6,-0.449000218399351,0.150999781600649,-0.150999781600649,0.894272084012909,1.02771947662823,-0.665819101647827,-0.127374874722395,-1.11695015443909,0.042868902648877,-0.837665444478062,0.0244909260192328
"8",-0.55,0,10000,0,10000,0,0,9999,1,10000,0,0,1,-0.55,-0.410945996598522,0.139054003401478,-0.139054003401478,0.893891550100736,1.02729049750253,-0.630771487504682,-0.122861419476647,-1.07359166788903,-0.0740305873556327,-0.941453417345168,-3.8772527247895e-05
"9",-0.5,3,9997,3,9997,0,0,9999,1,9999,1,1,1,-0.5,-0.37364055198182,0.12635944801818,-0.12635944801818,0.892296174015782,1.02505450640224,-0.592085286328992,-0.118529640918125,-1.03323817253413,0.122043204149303,-0.69947824515532,0.0386298357118472
"10",-0.45,2,9998,2,9998,0,0,10000,0,10000,0,0,0,-0.45,-0.337221053552989,0.112778946447011,-0.112778946447011,0.894157884984128,1.02744172789196,-0.555274885100847,-0.115607367426891,-0.96269108172536,0.164012774880979,-0.878021115521352,0.114803398488499
"11",-0.4,11,9989,11,9989,0,0,10000,0,10000,0,0,0,-0.4,-0.29859175390231,0.10140824609769,-0.10140824609769,0.893134318941256,1.02655949670304,-0.519415775081721,-0.111179006408847,-0.999530082332583,0.251402129570355,-0.798380633361381,0.161459632653252
"12",-0.35,15,9985,15,9985,0,0,9997,3,9997,3,3,3,-0.35,-0.260619841099447,0.0893801589005526,-0.0893801589005526,0.894525559180239,1.02798804415959,-0.484135556944279,-0.107619234425314,-0.952742344625903,0.307640301309932,-0.747037353666026,0.230225764223944
"13",-0.3,28,9972,28,9972,0,0,9998,2,9998,2,1,1,-0.3,-0.223971245963505,0.0760287540364949,-0.0760287540364949,0.893405320415007,1.02701438271163,-0.444028396003764,-0.103212035665635,-0.920895979861059,0.497023808330838,-0.606310009375443,0.317666746197278
"14",-0.25,39,9961,39,9961,0,0,9997,3,9999,1,1,3,-0.25,-0.185824224888874,0.0641757751111255,-0.0641741621591528,0.893182904923031,1.02640032603061,-0.408545812542828,-0.0974827510000074,-0.813026691007126,0.472380666376833,-0.691591319288225,0.405816316962911
"15",-0.2,67,9933,69,9931,0,2,9998,2,9999,1,1,2,-0.2,-0.149963399283483,0.0500366007165166,-0.0499366489003698,0.892803285993167,1.02686131115868,-0.369765992410504,-0.0904256364512177,-0.887328669220442,0.744132990935409,-0.668632530070914,0.565603366652993
"16",-0.15,125,9875,128,9872,0,3,9999,1,9998,2,2,1,-0.15,-0.111523674155155,0.0384763258448452,-0.0380251540919625,0.892194819814244,1.02617035261803,-0.330366790066644,-0.0832673028023775,-0.762115799001553,0.602259021860247,-0.548665099086982,0.560233887601072
"17",-0.1,206,9794,209,9791,1,4,10000,0,9996,4,4,0,-0.1,-0.0747182319366696,0.0252817680633304,-0.0229762031724299,0.893857598310249,1.02805735902734,-0.295683558299498,-0.0780579221643043,-0.789600522468083,1.10216317037598,-0.582456966565057,1.09496265920223
"18",-0.0499999999999999,384,9616,397,9603,1,14,10000,0,10000,0,0,0,-0.0499999999999999,-0.0370789374306844,0.0129210625693156,-0.00150046599501148,0.893384970265921,1.02744573675085,-0.25561204384393,-0.0696448154982017,-0.700952299267306,0.573773029493502,-0.514895943208033,0.498824253997757
"19",0,574,9426,590,9410,4,20,9997,3,9998,2,1,2,-4.46939811558939e-20,-0.000227041782373226,-0.000227041782373226,0.037250193741176,0.891980758564482,1.02622926818101,-0.22124507793011,-0.0629409631881701,-0.729026407153824,0.706643339985429,-0.632196352314402,0.618803312950125
"20",0.05,1040,8960,1054,8946,14,28,10000,0,9999,1,1,0,0.05,0.0370364940723863,-0.0129635059276138,-0.00142432391642936,0.893321152593784,1.02688640280328,-0.177447591513707,-0.0509913388218915,-0.562196859675663,0.63034821895592,-0.415943425014323,0.74063277931199
"21",0.1,1440,8560,1476,8524,31,67,9999,1,9999,1,1,1,0.1,0.075305635659061,-0.024694364340939,-0.0223443469559703,0.895296189487274,1.02909052545815,-0.143121307952346,-0.0413646504837096,-0.601059089232661,0.66653431006556,-0.445072395195627,0.549499474407295
"22",0.15,2098,7902,2134,7866,66,102,10000,0,9999,1,1,0,0.15,0.111762618808093,-0.0382373811919074,-0.0378084499864526,0.892846853913717,1.02638482069749,-0.104053999240684,-0.0279168601725171,-0.515163320729148,0.908332405493607,-0.38502048474242,0.763073648597397
"23",0.2,2921,7079,2952,7048,116,147,10000,0,10000,0,0,0,0.2,0.148845761375581,-0.0511542386244188,-0.0511084597194395,0.891676875910909,1.02507517649252,-0.0647080923761751,-0.0126794064759268,-0.539098093987302,1.18676302458033,-0.363969795425891,1.11137522692918
"24",0.25,3768,6232,3741,6259,198,171,9997,3,10000,0,0,3,0.25,0.186533031284201,-0.0634669687157989,-0.0634669687157989,0.893944738070687,1.02815089000171,-0.0287714324114932,0.0026402103544651,-0.432305709840694,1.14685035785675,-0.326267970739662,1.04721760955767
"25",0.3,4804,5196,4763,5237,255,214,9998,2,9998,2,1,1,0.3,0.22364739935815,-0.0763526006418503,-0.0763526006418503,0.891821388282525,1.02518056605,0.00792408062556957,0.0202410578769222,-0.436288037559847,1.1693143237048,-0.263936192342321,0.986971774877736
"26",0.35,5957,4043,5825,4175,340,208,10000,0,10000,0,0,0,0.35,0.260787379940874,-0.0892126200591258,-0.0892126200591258,0.891622427850314,1.02470241929504,0.0481165535293702,0.0411330634444009,-0.414454525695599,1.06119524475915,-0.28626270624549,1.02234588774045
"27",0.4,7096,2904,6928,3072,381,213,10000,0,10000,0,0,0,0.4,0.299213847925539,-0.100786152074461,-0.100786152074461,0.893224800732792,1.02638885832192,0.089808463628126,0.0665391327985058,-0.356774695822206,0.972376927430816,-0.246456609506693,0.884250822292133
"28",0.45,7949,2051,7750,2250,380,181,9999,1,10000,0,0,1,0.45,0.336816087508991,-0.113183912491009,-0.113183912491009,0.892816464695554,1.02721081768098,0.126586679593887,0.0907496342950694,-0.28925258215011,1.25473842012228,-0.178284367492672,1.14926574606693
"29",0.5,8755,1245,8562,1438,311,118,9998,2,10000,0,0,2,0.5,0.372673103251581,-0.127326896748419,-0.127326896748419,0.892376427927797,1.0260393014636,0.164345801414879,0.118046258075092,-0.361745247130044,1.11808530657233,-0.216405683310665,1.22749838606897
"30",0.55,9288,712,9118,882,249,79,10000,0,10000,0,0,0,0.55,0.410199645571089,-0.139800354428911,-0.139800354428911,0.89183727639912,1.02607098421615,0.204857717899529,0.146235352723402,-0.225862734246864,1.20005943443588,-0.109176404131521,1.03794761244048
"31",0.6,9617,383,9521,479,151,55,10000,0,10000,0,0,0,0.6,0.448546939288816,-0.151453060711184,-0.151453060711184,0.893270027156547,1.02745981484721,0.24235991855464,0.176294899765124,-0.175866561522571,1.22058140310919,-0.102116874810103,1.03472313954221
"32",0.65,9839,161,9777,223,92,30,10000,0,10000,0,0,0,0.65,0.485086916917919,-0.164913083082081,-0.164913083082081,0.891599500233728,1.02549851958791,0.284605394482205,0.212253324981263,-0.125085082612987,1.17593111035962,-0.0753707249346774,1.27694386885819
"33",0.7,9951,49,9916,84,46,11,10000,0,10000,0,0,0,0.7,0.52293612734673,-0.17706387265327,-0.17706387265327,0.894148213963853,1.02838186274199,0.323659968184221,0.245554666297067,-0.116882927095488,1.33456703660072,-0.105652924696112,1.18198289688441
"34",0.75,9980,20,9959,41,25,4,10000,0,10000,0,0,0,0.75,0.559709431243202,-0.190290568756799,-0.190290568756799,0.890810588595272,1.02524637450559,0.359204278744085,0.276327997515321,-0.0786013768530837,1.3720588233918,-0.0905488338303507,1.28534162938316
"35",0.8,9997,3,9990,10,8,1,9999,1,10000,0,0,1,0.8,0.597558875378295,-0.202441124621705,-0.202441124621705,0.892354082446832,1.02691290473581,0.401174592682188,0.315544976632317,-0.0652743272944152,1.39749076756321,-0.0287694516312185,1.47026736435562
"36",0.85,10000,0,9998,2,2,0,10000,0,10000,0,0,0,0.85,0.633945495142855,-0.216054504857145,-0.216054504857145,0.892673380678106,1.02725472677531,0.441318492778481,0.351561902344084,0.00198322865816034,1.369956225297,-0.00893724876546934,1.28184785143785
"37",0.9,10000,0,10000,0,0,0,10000,0,10000,0,0,0,0.9,0.670945640150681,-0.229054359849319,-0.229054359849319,0.890178566810795,1.02532641285435,0.480075082188605,0.388320072734671,0.0447263191384484,1.53437093864524,0.0107939671921257,1.39164496295988
