N,A0_unstable,A0_stable,A1_unstable,A1_stable,A1_stabilised,A1_destabilised,A0_infeasible,A0_feasible,A1_infeasible,A1_feasible,A1_made_feasible,A1_made_infeasible,C
24,1784,98216,1793,98207,0,9,100000,0,100000,0,0,0,0.1304321014
48,25679,74321,25909,74091,70,300,100000,0,100000,0,0,0,0.1063797606
72,71004,28996,71813,28187,639,1448,100000,0,100000,0,0,0,0.0985885094
96,96024,3976,96098,3902,755,829,100000,0,100000,0,0,0,0.0947338618
120,99906,94,99894,106,58,46,100000,0,100000,0,0,0,0.0924337297
144,99999,1,100000,0,0,1,100000,0,100000,0,0,0,0.090906048
168,100000,0,100000,0,0,0,100000,0,100000,0,0,0,0.0898171571
192,100000,0,100000,0,0,0,100000,0,100000,0,0,0,0.0890021646
216,100000,0,100000,0,0,0,100000,0,100000,0,0,0,0.0883690409
240,100000,0,100000,0,0,0,100000,0,100000,0,0,0,0.0878629738
