S,A_unstable,A_stable,M_unstable,M_stable,A_stabilised,A_destabilised,A_infeasible,A_feasible,M_infeasible,M_feasible,A_made_feasible,A_made_infeasible
2,7,99993,7,99993,0,0,74863,25137,74895,25105,1822,1854
3,32,99968,32,99968,0,0,87434,12566,87508,12492,2322,2396
4,122,99878,122,99878,0,0,93761,6239,93738,6262,2007,1984
5,320,99680,321,99679,0,1,96830,3170,96745,3255,1470,1385
6,667,99333,673,99327,0,6,98481,1519,98500,1500,861,880
7,1233,98767,1252,98748,0,19,99187,813,99196,804,519,528
8,2123,97877,2156,97844,3,36,99654,346,99640,360,282,268
9,3415,96585,3471,96529,16,72,99816,184,99817,183,142,143
10,5349,94651,5450,94550,30,131,99900,100,99920,80,62,82
11,7990,92010,8185,91815,81,276,99958,42,99954,46,43,39
12,11073,88927,11301,88699,219,447,99973,27,99972,28,22,21
13,14971,85029,15204,84796,445,678,99986,14,99986,14,12,12
14,19754,80246,19992,80008,764,1002,99991,9,99995,5,4,8
15,25020,74980,25239,74761,1185,1404,99996,4,99998,2,1,3
16,30860,69140,30938,69062,1902,1980,99999,1,99999,1,1,1
17,37844,62156,37562,62438,2758,2476,100000,0,99999,1,1,0
18,44909,55091,44251,55749,3595,2937,99999,1,100000,0,0,1
19,52322,47678,51011,48989,4573,3262,99999,1,100000,0,0,1
20,60150,39850,58295,41705,5382,3527,100000,0,100000,0,0,0
21,67147,32853,64895,35105,5925,3673,100000,0,100000,0,0,0
22,74177,25823,71358,28642,6310,3491,100000,0,100000,0,0,0
23,80297,19703,77034,22966,6507,3244,100000,0,100000,0,0,0
24,85372,14628,82039,17961,6209,2876,100000,0,100000,0,0,0
25,89719,10281,86539,13461,5562,2382,100000,0,100000,0,0,0
26,92947,7053,90141,9859,4707,1901,100000,0,100000,0,0,0
27,95436,4564,92950,7050,3844,1358,100000,0,100000,0,0,0
28,97196,2804,95171,4829,2999,974,100000,0,100000,0,0,0
29,98300,1700,96842,3158,2115,657,100000,0,100000,0,0,0
30,99103,897,98033,1967,1466,396,100000,0,100000,0,0,0
31,99502,498,98665,1335,1068,231,100000,0,100000,0,0,0
32,99745,255,99185,815,696,136,100000,0,100000,0,0,0
33,99881,119,99572,428,375,66,100000,0,100000,0,0,0
34,99955,45,99788,212,191,24,100000,0,100000,0,0,0
35,99979,21,99900,100,95,16,100000,0,100000,0,0,0
36,99995,5,99950,50,50,5,100000,0,100000,0,0,0
37,99997,3,99970,30,28,1,100000,0,100000,0,0,0
38,99998,2,99986,14,13,1,100000,0,100000,0,0,0
39,99999,1,99991,9,9,1,100000,0,100000,0,0,0
40,100000,0,100000,0,0,0,100000,0,100000,0,0,0
41,100000,0,99999,1,1,0,100000,0,100000,0,0,0
42,100000,0,99999,1,1,0,100000,0,100000,0,0,0
43,100000,0,100000,0,0,0,100000,0,100000,0,0,0
…,…,…,…,…,…,…,…,…,…,…,…,…
50,100000,0,100000,0,0,0,100000,0,100000,0,0,0
