S,A_unstable,A_stable,M_unstable,M_stable,A_stabilised,A_destabilised,A_infeasible,A_feasible,M_infeasible,M_feasible,A_made_feasible,A_made_infeasible
2,5,99995,5,99995,0,0,75110,24890,75113,24887,1063,1066
3,6,99994,6,99994,0,0,87526,12474,87670,12330,1421,1565
4,24,99976,24,99976,0,0,93713,6287,93772,6228,1385,1444
5,59,99941,59,99941,0,0,96929,3071,96840,3160,1088,999
6,98,99902,98,99902,0,0,98492,1508,98417,1583,710,635
7,160,99840,161,99839,0,1,99243,757,99219,781,426,402
8,290,99710,293,99707,0,3,99582,418,99575,425,276,269
9,430,99570,434,99566,0,4,99821,179,99807,193,134,120
10,648,99352,653,99347,1,6,99895,105,99912,88,66,83
11,946,99054,957,99043,0,11,99945,55,99943,57,51,49
12,1392,98608,1415,98585,4,27,99978,22,99982,18,17,21
13,2032,97968,2065,97935,5,38,99987,13,99989,11,9,11
14,2627,97373,2688,97312,10,71,99988,12,99993,7,6,11
15,3588,96412,3647,96353,35,94,99996,4,99994,6,5,3
16,5019,94981,5124,94876,51,156,99998,2,99998,2,2,2
17,6512,93488,6673,93327,79,240,99999,1,99999,1,1,1
18,8444,91556,8600,91400,165,321,100000,0,100000,0,0,0
19,10416,89584,10667,89333,244,495,100000,0,99999,1,1,0
20,13254,86746,13477,86523,425,648,100000,0,100000,0,0,0
21,16248,83752,16481,83519,642,875,100000,0,100000,0,0,0
22,19497,80503,19719,80281,929,1151,100000,0,100000,0,0,0
23,23654,76346,23776,76224,1368,1490,100000,0,100000,0,0,0
24,28485,71515,28389,71611,1914,1818,100000,0,100000,0,0,0
25,32774,67226,32483,67517,2428,2137,100000,0,100000,0,0,0
26,38126,61874,37411,62589,3221,2506,100000,0,100000,0,0,0
27,43435,56565,42418,57582,3828,2811,100000,0,100000,0,0,0
28,49333,50667,47840,52160,4565,3072,100000,0,100000,0,0,0
29,55389,44611,53381,46619,5329,3321,100000,0,100000,0,0,0
30,60826,39174,58388,41612,5918,3480,100000,0,100000,0,0,0
31,66820,33180,64043,35957,6345,3568,100000,0,100000,0,0,0
32,72190,27810,69036,30964,6685,3531,100000,0,100000,0,0,0
33,77053,22947,73587,26413,6826,3360,100000,0,100000,0,0,0
34,81816,18184,78157,21843,6673,3014,100000,0,100000,0,0,0
35,85651,14349,82041,17959,6383,2773,100000,0,100000,0,0,0
36,88985,11015,85657,14343,5721,2393,100000,0,100000,0,0,0
37,92072,7928,88805,11195,5180,1913,100000,0,100000,0,0,0
38,94329,5671,91444,8556,4451,1566,100000,0,100000,0,0,0
39,95912,4088,93295,6705,3804,1187,100000,0,100000,0,0,0
40,97232,2768,95201,4799,2967,936,100000,0,100000,0,0,0
41,98179,1821,96506,3494,2356,683,100000,0,100000,0,0,0
42,98826,1174,97489,2511,1786,449,100000,0,100000,0,0,0
43,99275,725,98312,1688,1251,288,100000,0,100000,0,0,0
44,99583,417,98872,1128,903,192,100000,0,100000,0,0,0
45,99776,224,99339,661,576,139,100000,0,100000,0,0,0
46,99865,135,99518,482,413,66,100000,0,100000,0,0,0
47,99938,62,99744,256,226,32,100000,0,100000,0,0,0
48,99956,44,99824,176,151,19,100000,0,100000,0,0,0
49,99980,20,99914,86,85,19,100000,0,100000,0,0,0
50,99993,7,99950,50,46,3,100000,0,100000,0,0,0
51,99998,2,99971,29,28,1,100000,0,100000,0,0,0
52,99998,2,99986,14,14,2,100000,0,100000,0,0,0
53,99999,1,99992,8,7,0,100000,0,100000,0,0,0
54,100000,0,99997,3,3,0,100000,0,100000,0,0,0
55,100000,0,99999,1,1,0,100000,0,100000,0,0,0
56,100000,0,99998,2,2,0,100000,0,100000,0,0,0
57,100000,0,99999,1,1,0,100000,0,100000,0,0,0
58,100000,0,100000,0,0,0,100000,0,100000,0,0,0
…,…,…,…,…,…,…,…,…,…,…,…,…
100,100000,0,100000,0,0,0,100000,0,100000,0,0,0
