S,A_unstable,A_stable,M_unstable,M_stable,A_stabilised,A_destabilised,A_infeasible,A_feasible,M_infeasible,M_feasible,A_made_feasible,A_made_infeasible
10,3,99997,3,99997,0,0,99908,92,99924,76,14,30
20,15,99985,15,99985,0,0,100000,0,100000,0,0,0
30,48,99952,48,99952,0,0,100000,0,100000,0,0,0
40,85,99915,85,99915,0,0,100000,0,100000,0,0,0
50,163,99837,163,99837,0,0,100000,0,100000,0,0,0
60,280,99720,282,99718,0,2,100000,0,100000,0,0,0
70,561,99439,566,99434,3,8,100000,0,100000,0,0,0
80,1009,98991,1029,98971,6,26,100000,0,100000,0,0,0
90,2126,97874,2175,97825,31,80,100000,0,100000,0,0,0
100,4580,95420,4653,95347,142,215,100000,0,100000,0,0,0
110,9540,90460,9632,90368,465,557,100000,0,100000,0,0,0
120,19090,80910,18668,81332,1676,1254,100000,0,100000,0,0,0
130,35047,64953,33220,66780,4172,2345,100000,0,100000,0,0,0
140,56411,43589,52439,47561,7297,3325,100000,0,100000,0,0,0
150,78003,21997,72574,27426,8477,3048,100000,0,100000,0,0,0
160,92678,7322,88438,11562,5901,1661,100000,0,100000,0,0,0
170,98614,1386,96670,3330,2397,453,100000,0,100000,0,0,0
180,99839,161,99418,582,499,78,100000,0,100000,0,0,0
190,99990,10,99945,55,52,7,100000,0,100000,0,0,0
200,100000,0,99995,5,5,0,100000,0,100000,0,0,0
210,100000,0,100000,0,0,0,100000,0,100000,0,0,0
…,…,…,…,…,…,…,…,…,…,…,…,…
300,100000,0,100000,0,0,0,100000,0,100000,0,0,0
