"","N","A1_unstable","A1_stable","A2_unstable","A2_stable","A3_unstable","A3_stable","A4_unstable","A4_stable","A5_unstable","A5_stable","A6_unstable","A6_stable","A7_unstable","A7_stable","A2_stabilised","A2_destabilised","A3_stabilised","A3_destabilised","A4_stabilised","A4_destabilised","A5_stabilised","A5_destabilised","A6_stabilised","A6_destabilised","A7_stabilised","A7_destabilised","A1_infeasible","A1_feasible","A2_infeasible","A2_feasible","A3_infeasible","A3_feasible","A4_infeasible","A4_feasible","A5_infeasible","A5_feasible","A6_infeasible","A6_feasible","A7_infeasible","A7_feasible","A2_made_feasible","A2_made_infeasible","A3_made_feasible","A3_made_infeasible","A4_made_feasible","A4_made_infeasible","A5_made_feasible","A5_made_infeasible","A6_made_feasible","A6_made_infeasible","A7_made_feasible","A7_made_infeasible"
"20",21,95085,4915,95069,4931,95069,4931,95059,4941,95076,4924,95038,4962,95056,4944,342,353,312,389,352,350,326,337,286,380,305,321,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,0,0,0,0,0,0,0,0,0,0,0,0
"21",22,97197,2803,97164,2836,97140,2860,97151,2849,97164,2836,97165,2835,97154,2846,259,274,245,275,258,232,226,217,199,242,226,189,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,0,0,0,0,0,0,0,0,0,0,0,0
"22",23,98458,1542,98431,1569,98464,1536,98447,1553,98428,1572,98460,1540,98410,1590,167,139,150,181,138,174,140,145,139,151,140,126,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,0,0,0,0,0,0,0,0,0,0,0,0
"23",24,99270,730,99244,756,99257,743,99254,746,99238,762,99232,768,99234,766,111,106,88,123,114,107,85,93,72,91,76,71,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,0,0,0,0,0,0,0,0,0,0,0,0
"24",25,99634,366,99642,358,99621,379,99638,362,99639,361,99640,360,99620,380,51,72,53,53,56,63,59,59,57,58,62,49,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,0,0,0,0,0,0,0,0,0,0,0,0
"25",26,99826,174,99817,183,99819,181,99822,178,99824,176,99823,177,99820,180,33,30,26,32,24,31,24,23,22,30,21,25,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,0,0,0,0,0,0,0,0,0,0,0,0
"26",27,99944,56,99942,58,99946,54,99944,56,99946,54,99946,54,99947,53,11,10,8,13,11,12,9,12,8,15,13,15,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,0,0,0,0,0,0,0,0,0,0,0,0
"27",28,99975,25,99977,23,99978,22,99978,22,99975,25,99971,29,99980,20,7,6,4,8,10,4,9,9,7,8,6,9,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,0,0,0,0,0,0,0,0,0,0,0,0
"28",29,99991,9,99991,9,99992,8,99992,8,99992,8,99991,9,99991,9,3,2,0,2,2,3,3,3,1,3,2,3,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,0,0,0,0,0,0,0,0,0,0,0,0
"29",30,99998,2,99996,4,99998,2,99996,4,99997,3,99995,5,99997,3,2,1,3,1,3,2,0,1,1,0,0,1,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,0,0,0,0,0,0,0,0,0,0,0,0
