"","N","A0_unstable","A0_stable","A1_unstable","A1_stable","A2_unstable","A2_stable","A3_unstable","A3_stable","A4_unstable","A4_stable","A1_stabilised","A2_stabilised","A3_stabilised","A4_stabilised","A1_destabilised","A2_destabilised","A3_destabilised","A4_destabilised","A0_infeasible","A0_feasible","A1_infeasible","A1_feasible","A2_infeasible","A2_feasible","A3_infeasible","A3_feasible","A4_infeasible","A4_feasible","A1_made_feasible","A2_made_feasible","A3_made_feasible","A4_made_feasible","A1_made_infeasible","A2_made_infeasible","A3_made_infeasible","A4_made_infeasible"
"1",2,22,99978,22,99978,22,99978,22,99978,22,99978,0,0,0,0,0,0,0,0,74888,25112,74988,25012,74971,25029,74957,25043,74957,25043,3519,4288,4286,4340,3619,4371,4355,4382
"2",3,324,99676,324,99676,324,99676,325,99675,325,99675,0,0,0,0,0,0,1,1,87557,12443,87521,12479,87440,12560,87272,12728,87272,12728,3688,5137,5333,5293,3652,5020,5048,5155
"3",4,1436,98564,1446,98554,1444,98556,1456,98544,1452,98548,0,0,0,0,10,8,20,16,93885,6115,93820,6180,93828,6172,93759,6241,93759,6241,2596,3297,3348,3422,2531,3240,3222,3292
"4",5,3865,96135,3910,96090,3934,96066,3920,96080,3954,96046,3,1,3,4,48,70,58,93,96883,3117,96895,3105,96902,3098,96922,3078,96922,3078,1623,1831,1834,1894,1635,1850,1873,1919
"5",6,8081,91919,8212,91788,8246,91754,8265,91735,8289,91711,44,50,50,50,175,215,234,258,98436,1564,98422,1578,98412,1588,98487,1513,98487,1513,905,1050,974,1019,891,1026,1025,1062
"6",7,13619,86381,13906,86094,13985,86015,14024,85976,14105,85895,171,196,186,194,458,562,591,680,99276,724,99279,721,99212,788,99203,797,99203,797,457,564,571,581,460,500,498,510
"7",8,20528,79472,20926,79074,21008,78992,21093,78907,21231,78769,546,615,619,596,944,1095,1184,1299,99618,382,99587,413,99607,393,99664,336,99664,336,283,296,234,305,252,285,280,295
"8",9,29162,70838,29576,70424,29695,70305,29695,70305,29828,70172,1243,1421,1488,1452,1657,1954,2021,2118,99831,169,99831,169,99796,204,99801,199,99801,199,125,164,163,160,125,129,133,133
"9",10,38315,61685,38400,61600,38342,61658,38353,61647,38470,61530,2312,2628,2694,2664,2397,2655,2732,2819,99881,119,99894,106,99894,106,99883,117,99883,117,74,73,86,75,87,86,88,92
"10",11,48458,51542,48074,51926,47804,52196,47787,52213,47914,52086,3509,4160,4191,4043,3125,3506,3520,3499,99949,51,99956,44,99951,49,99948,52,99948,52,33,37,39,44,40,39,38,39
