,S,A_unstable,A_stable,M_unstable,M_stable,A_stabilised,A_destabilised,A_infeasible,A_feasible,M_infeasible,M_feasible,A_made_feasible,A_made_infeasible
1,10,36,99964,36,99964,0,0,99892,108,99901,99,30,39
2,20,195,99805,195,99805,0,0,100000,0,100000,0,0,0
3,30,519,99481,523,99477,0,4,100000,0,100000,0,0,0
4,40,1096,98904,1101,98899,2,7,100000,0,100000,0,0,0
5,50,2375,97625,2397,97603,9,31,100000,0,100000,0,0,0
6,60,4898,95102,4968,95032,83,153,100000,0,100000,0,0,0
7,70,10841,89159,10916,89084,432,507,100000,0,100000,0,0,0
8,80,22281,77719,21988,78012,1622,1329,100000,0,100000,0,0,0
9,90,42010,57990,39998,60002,4458,2446,100000,0,100000,0,0,0
10,100,67289,32711,63098,36902,7153,2962,100000,0,100000,0,0,0
11,110,88137,11863,84023,15977,6108,1994,100000,0,100000,0,0,0
12,120,97678,2322,95557,4443,2740,619,100000,0,100000,0,0,0
13,130,99795,205,99304,696,578,87,100000,0,100000,0,0,0
14,140,99989,11,99948,52,49,8,100000,0,100000,0,0,0
15,150,100000,0,100000,0,0,0,100000,0,100000,0,0,0
…,…,…,…,…,…,…,…,…,…,…,…,…,…
30,300,100000,0,100000,0,0,0,100000,0,100000,0,0,0
