"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"1",2,26,99974,0,0,71805,21192,3518,3485,71320,21608,3587,3485
"2",3,390,99610,0,0,83975,8781,3580,3664,83822,8934,3633,3611
"3",4,1468,98521,11,0,91041,3716,2662,2581,91164,3612,2616,2608
"4",5,3947,95999,51,3,95201,1540,1600,1659,95273,1559,1582,1586
"5",6,7709,92091,174,26,97488,638,933,941,97501,656,893,950
"6",7,13124,86257,465,154,98745,283,477,495,98684,319,493,504
"7",8,19916,78595,954,535,99353,121,264,262,99374,140,243,243
"8",9,27728,69371,1644,1257,99646,55,146,153,99633,59,161,147
"9",10,36091,59346,2309,2254,99860,21,63,56,99846,25,74,55
"10",11,45108,48131,3142,3619,99909,15,35,41,99924,9,29,38
"11",12,54316,37387,3498,4799,99963,4,14,19,99942,7,23,28
"12",13,63047,27564,3691,5698,99976,2,9,13,99973,0,13,14
"13",14,71688,18826,3495,5991,99988,1,7,4,99989,1,7,3
"14",15,79098,12083,3101,5718,99991,2,0,7,99994,1,3,2
"15",16,85504,7088,2363,5045,1e+05,0,0,0,99996,0,2,2
"16",17,90204,4031,1666,4099,99999,0,0,1,99997,0,2,1
"17",18,93929,2018,1079,2974,1e+05,0,0,0,99999,0,0,1
"18",19,96277,900,693,2130,1e+05,0,0,0,99999,0,0,1
"19",20,97978,396,378,1248,1e+05,0,0,0,1e+05,0,0,0
"20",21,99008,138,183,671,1e+05,0,0,0,1e+05,0,0,0
"21",22,99522,38,54,386,1e+05,0,0,0,1e+05,0,0,0
"22",23,99793,9,26,172,1e+05,0,0,0,1e+05,0,0,0
"23",24,99891,3,12,94,1e+05,0,0,0,1e+05,0,0,0
"24",25,99964,2,3,31,1e+05,0,0,0,1e+05,0,0,0
"25",26,99990,0,0,10,1e+05,0,0,0,1e+05,0,0,0
"26",27,99994,0,1,5,1e+05,0,0,0,1e+05,0,0,0
"27",28,99999,0,1,0,1e+05,0,0,0,1e+05,0,0,0
"28",29,99999,0,0,1,1e+05,0,0,0,1e+05,0,0,0
"29",30,1e+05,0,0,0,1e+05,0,0,0,1e+05,0,0,0
"30",31,1e+05,0,0,0,1e+05,0,0,0,1e+05,0,0,0
"31",32,1e+05,0,0,0,1e+05,0,0,0,1e+05,0,0,0
"32",33,1e+05,0,0,0,1e+05,0,0,0,1e+05,0,0,0
"33",34,1e+05,0,0,0,1e+05,0,0,0,1e+05,0,0,0
"34",35,1e+05,0,0,0,1e+05,0,0,0,1e+05,0,0,0
"35",36,1e+05,0,0,0,1e+05,0,0,0,1e+05,0,0,0
"36",37,1e+05,0,0,0,1e+05,0,0,0,1e+05,0,0,0
"37",38,1e+05,0,0,0,1e+05,0,0,0,1e+05,0,0,0
