"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"85",86,99278,14,97,611,1e+05,0,0,0,1e+05,0,0,0
"86",87,99372,13,85,530,1e+05,0,0,0,1e+05,0,0,0
"87",88,99498,4,46,452,1e+05,0,0,0,1e+05,0,0,0
"88",89,99640,3,36,321,1e+05,0,0,0,1e+05,0,0,0
"89",90,99731,3,23,243,1e+05,0,0,0,1e+05,0,0,0
"90",91,99785,3,19,193,1e+05,0,0,0,1e+05,0,0,0
"91",92,99844,1,13,142,1e+05,0,0,0,1e+05,0,0,0
"92",93,99889,0,6,105,1e+05,0,0,0,1e+05,0,0,0
"93",94,99920,0,6,74,1e+05,0,0,0,1e+05,0,0,0
"94",95,99935,0,3,62,1e+05,0,0,0,1e+05,0,0,0
"95",96,99959,0,3,38,1e+05,0,0,0,1e+05,0,0,0
"96",97,99965,0,2,33,1e+05,0,0,0,1e+05,0,0,0
"97",98,99978,0,0,22,1e+05,0,0,0,1e+05,0,0,0
"98",99,99988,0,0,12,1e+05,0,0,0,1e+05,0,0,0
"99",100,99986,0,0,14,1e+05,0,0,0,1e+05,0,0,0
