S,A_unstable,A_stable,M_unstable,M_stable,A_stabilised,A_destabilised,A_infeasible,A_feasible,M_infeasible,M_feasible,A_made_feasible,A_made_infeasible,A_rho,M_rho,rho_diff,rho_abs,complex_A,complex_M
49,999746,254,998532,1468,1391,177,1000000,0,1000000,0,0,0,2.77644512674078E-05,0.0040943517,0.0040665873,-0.0007407105,2.7999595684,3.2244019645
50,999864,136,999132,868,836,104,1000000,0,1000000,0,0,0,-5.3299748838997E-05,0.0039917413,0.004045041,-0.0007309116,2.8285547286,3.257450995
51,999934,66,999561,439,426,53,1000000,0,1000000,0,0,0,9.42152424606771E-06,0.0039623229,0.0039529013,-0.0007152863,2.8566906809,3.2900942665
52,999970,30,999761,239,229,20,1000000,0,1000000,0,0,0,5.05102589901978E-05,0.0038873184,0.0038368082,-0.0006993596,2.884470336,3.3222720837
53,999985,15,999873,127,124,12,1000000,0,1000000,0,0,0,-9.78789384997121E-06,0.0037921688,0.0038019567,-0.0006947344,2.9122644631,3.3544289565
54,999999,1,999935,65,64,0,1000000,0,1000000,0,0,0,1.57459761502326E-06,0.0037264885,0.0037249139,-0.0006816085,2.9395400432,3.3859103132
55,1000000,0,999971,29,29,0,1000000,0,1000000,0,0,0,-9.90721771078878E-06,0.003669624,0.0036795312,-0.0006591785,2.9665995973,3.4173273405
56,999999,1,999988,12,12,1,1000000,0,1000000,0,0,0,3.78425511547834E-05,0.0036174584,0.0035796159,-0.0006429772,2.9936262769,3.4486027059
57,1000000,0,999989,11,11,0,1000000,0,1000000,0,0,0,-6.0934707088802E-06,0.0035539493,0.0035600428,-0.0006237295,3.019928332,3.4789408341
58,1000000,0,999998,2,2,0,1000000,0,1000000,0,0,0,-4.29284176549732E-05,0.0034442454,0.0034871739,-0.0006108376,3.0460951616,3.5094529832
59,1000000,0,999999,1,1,0,1000000,0,1000000,0,0,0,2.81183699305385E-05,0.0034267456,0.0033986273,-0.0006069446,3.0728114893,3.5401634011
60,1000000,0,1000000,0,0,0,1000000,0,1000000,0,0,0,0.000024872,0.0033738843,0.0033490124,-0.0006357987,3.0983366644,3.569806749
