"","N","A0_unstable","A0_stable","A1_unstable","A1_stable","A1_stabilised","A1_destabilised","A0_infeasible","A0_feasible","A1_infeasible","A1_feasible","A1_made_feasible","A1_made_infeasible","A0_rho","A1_rho","rho_diff","rho_abs","complex_A0","complex_A1","C"
"1",24,20408,979592,20478,979522,6,76,999999,1,1e+06,0,0,1,-9.0234914541099e-05,-0.000117557531698992,-2.73226171578945e-05,-0.00357827355639999,0.169265761821157,0.193791723277547,0.130296242753623
"2",48,238101,761899,240787,759213,1109,3795,1e+06,0,1e+06,0,0,0,0.000245518528930427,0.00017386488993843,-7.1653638991998e-05,-0.000777912870121309,0.235100451398215,0.270589184641656,0.106230719858156
"3",72,680138,319862,685524,314476,11605,16991,1e+06,0,1e+06,0,0,0,6.88627048348364e-05,-6.68686230343186e-07,-6.95313910651791e-05,-0.000340346813739971,0.28611563171345,0.329766303800899,0.0984349984350548
"4",96,961691,38309,959740,40260,9707,7756,1e+06,0,1e+06,0,0,0,1.36907056731859e-05,1.70477092045337e-06,-1.1985934752733e-05,-0.000263834593168174,0.32932178457771,0.379766585608702,0.0945785651315789
"5",120,999544,456,999282,718,468,206,1e+06,0,1e+06,0,0,0,6.01755348754809e-05,5.99776930842728e-05,-1.97841791207978e-07,-0.000123926493447324,0.367452866772076,0.423847946379629,0.092277737394958
"6",144,999999,1,999999,1,1,1,1e+06,0,1e+06,0,0,0,-4.43346391764639e-05,-2.79919155767524e-05,1.63427235997114e-05,-6.17300027262087e-05,0.401950516158546,0.463765522828076,0.0907491903651904
"7",168,1e+06,0,1e+06,0,0,0,1e+06,0,1e+06,0,0,0,6.48572012178823e-06,1.22553139971239e-05,5.76959387533592e-06,-5.87906478958725e-05,0.433770395372122,0.50052763966213,0.0896598446678072
