rho_set,A0_unstable,A0_stable,A1_unstable,A1_stable,A1_stabilised,A1_destabilised,A0_infeasible,A0_feasible,A1_infeasible,A1_feasible,A1_made_feasible,A1_made_infeasible,A0_rho,A1_rho,rho_diff,rho_abs,complex_A0,complex_A1,A0_eig,A1_eig,LCI_A0,UCI_A0,LCI_A1,UCI_A1
-0.5,55,45,53,47,12,10,100,0,100,0,0,0,-0.5,-0.3770682773,0.1229317227,-0.1229317227,2.2234434987,2.5508959425,0.0407907867,0.0454076266,-0.3724774651,0.7755638419,-0.2106819422,0.9628426257
-0.45,70,30,64,36,12,6,100,0,100,0,0,0,-0.45,-0.3416321592,0.1083678408,-0.1083678408,2.1586437272,2.486615633,0.1282419947,0.092534674,-0.1504095983,0.7538095971,-0.1680056033,0.8165753425
-0.4,87,13,85,15,9,7,100,0,100,0,0,0,-0.4,-0.3028241668,0.0971758332,-0.0971758332,2.1902889031,2.5254885418,0.2444971103,0.1613281491,-0.2029165042,0.9162865799,-0.1275583755,0.5895350997
-0.35,98,2,95,5,4,1,100,0,100,0,0,0,-0.35,-0.2661779523,0.0838220477,-0.0838220477,2.1926557514,2.5390750599,0.3354636911,0.2152003853,-0.1859158785,1.2362723358,-0.1651687084,0.8000097007
-0.3,99,1,98,2,2,1,100,0,100,0,0,0,-0.3,-0.2240145703,0.0759854297,-0.0759854297,2.1870883609,2.5239528945,0.4219441191,0.2990554099,-0.0293785617,0.9484532138,-0.014644772,0.9563359081
-0.25,100,0,100,0,0,0,100,0,100,0,0,0,-0.25,-0.1862938509,0.0637061491,-0.0637061491,2.1840187166,2.5138109776,0.5255086044,0.3708275704,0.1229116765,1.3212799923,0.0360726898,1.1616545481
-0.2,100,0,100,0,0,0,100,0,100,0,0,0,-0.2,-0.1484294432,0.0515705568,-0.0515705568,2.1994756364,2.5456195861,0.5911483464,0.4495262292,0.1137627053,1.1407735453,0.048222963,1.2498093126
-0.15,100,0,100,0,0,0,100,0,100,0,0,0,-0.15,-0.1091455751,0.0408544249,-0.0408544249,2.2113021943,2.5516647198,0.7587093701,0.6334667559,0.2169796406,1.4836303607,0.1406637981,1.477224263
-0.1,100,0,100,0,0,0,100,0,100,0,0,0,-0.1,-0.0826907962,0.0173092038,-0.0171454837,2.246407333,2.5624180323,0.8281837471,0.6948712456,0.2979431259,1.3740717317,0.1122173129,1.3774844736
-0.05,100,0,100,0,0,0,100,0,100,0,0,0,-0.05,-0.0389760037,0.0110239963,-0.0095294221,2.1820972277,2.5234538533,0.8853552292,0.7696178776,0.3806755557,1.6119541776,0.2503582764,1.9509506201
0,100,0,100,0,0,0,100,0,100,0,0,0,-1.08537509677226E-18,-0.0040642793,-0.0040642793,0.025650613,2.1804794701,2.5056146388,1.0169157449,0.8815773987,0.4688615388,1.8034606445,0.2474726009,1.7986301476
0.05,100,0,100,0,0,0,100,0,100,0,0,0,0.05,0.0325578605,-0.0174421395,-0.0106833264,2.1907913475,2.5190187559,1.0831722485,0.9771901093,0.4992002237,1.6931294671,0.3823888505,2.0690814682
0.1,100,0,100,0,0,0,100,0,100,0,0,0,0.1,0.0817263425,-0.0182736575,-0.0181831717,2.2031304157,2.5312426979,1.1881337823,1.1815827111,0.5331510115,2.0604801454,0.3889559033,2.1421542011
0.15,100,0,100,0,0,0,100,0,100,0,0,0,0.15,0.1187931742,-0.0312068258,-0.031011263,2.1954186746,2.5117480106,1.2932538584,1.1664980763,0.709598312,2.0330209763,0.4750255901,1.9300546652
0.2,100,0,100,0,0,0,100,0,100,0,0,0,0.2,0.1508014385,-0.0491985615,-0.0491985615,2.2112669047,2.5384888013,1.3375275255,1.2894260546,0.6855990642,2.5570658387,0.6438721152,2.2136671022
0.25,100,0,100,0,0,0,100,0,100,0,0,0,0.25,0.1882717468,-0.0617282532,-0.0617282532,2.2121572617,2.5397980821,1.4694855159,1.400205194,0.8252193198,2.2995391475,0.5567470582,2.3979420275
0.3,100,0,100,0,0,0,100,0,100,0,0,0,0.3,0.2249630863,-0.0750369137,-0.0750369137,2.1782799964,2.5026739882,1.5906523592,1.4522867933,0.9051142936,2.3732892096,0.7734809501,2.4760399573
0.35,100,0,100,0,0,0,100,0,100,0,0,0,0.35,0.2671158092,-0.0828841908,-0.0828841908,2.2239453505,2.5567877876,1.6551808118,1.5881395396,1.0746911701,2.8227052434,0.7916428038,2.9712334829
0.4,100,0,100,0,0,0,100,0,100,0,0,0,0.4,0.2980383389,-0.1019616611,-0.1019616611,2.1806800451,2.5214757619,1.7649534834,1.7390654187,1.0872607908,3.1775784792,0.9674079544,2.8312408357
0.45,100,0,100,0,0,0,100,0,100,0,0,0,0.45,0.335967384,-0.114032616,-0.114032616,2.1623538255,2.5084332882,1.8245086027,1.8320862676,1.2017447163,2.9105547206,0.98442968,3.0372411033
0.5,100,0,100,0,0,0,100,0,100,0,0,0,0.5,0.3688753945,-0.1311246055,-0.1311246055,2.1710154186,2.4938668123,1.9392773163,1.9033330685,1.3568045056,3.4184075497,1.0298819036,2.942108275
