rho_set,A0_unstable,A0_stable,A1_unstable,A1_stable,A1_stabilised,A1_destabilised,A0_infeasible,A0_feasible,A1_infeasible,A1_feasible,A1_made_feasible,A1_made_infeasible,A0_rho,A1_rho,rho_diff,rho_abs,complex_A0,complex_A1,A0_eig,A1_eig,LCI_A0,UCI_A0,LCI_A1,UCI_A1
-0.9,1,9999,1,9999,0,0,10000,0,10000,0,0,0,-0.9,-0.6740798993,0.2259201007,-0.2259201007,2.3654434293,2.7230290285,-0.7203109296,-0.140937039,-1.1669665141,0.0875945611,-0.8318213217,0.0603139462
-0.85,2,9998,2,9998,0,0,10000,0,10000,0,0,0,-0.85,-0.636612483,0.213387517,-0.213387517,2.3702166795,2.7288477004,-0.6130281494,-0.1322879633,-0.9786419949,0.4952396109,-0.7771944373,0.4401628681
-0.8,10,9990,12,9988,0,2,10000,0,10000,0,0,0,-0.8,-0.5987680502,0.2012319498,-0.2012319498,2.3641727851,2.7225631556,-0.5050487573,-0.1196831343,-0.9229615441,0.2532056268,-0.6515031819,0.1885424065
-0.75,56,9944,63,9937,0,7,10000,0,10000,0,0,0,-0.75,-0.5609613445,0.1890386555,-0.1890386555,2.3653224405,2.7245724017,-0.4048063609,-0.1070639668,-0.7895634878,0.4552132639,-0.5798090748,0.4644065579
-0.7,289,9711,313,9687,11,35,10000,0,10000,0,0,0,-0.7,-0.5242118665,0.1757881335,-0.1757881335,2.3668122461,2.7250963734,-0.2979201534,-0.0881697237,-0.7154736,0.8087380384,-0.5763078072,0.5242213707
-0.65,997,9003,1045,8955,116,164,10000,0,10000,0,0,0,-0.65,-0.4869561264,0.1630438736,-0.1630438736,2.3653005263,2.7231044062,-0.1937428195,-0.0625377148,-0.6630117454,0.6730379295,-0.4473698059,0.4555361012
-0.6,2502,7498,2513,7487,479,490,10000,0,10000,0,0,0,-0.6,-0.4487868013,0.1512131987,-0.1512131987,2.3607568863,2.7193731211,-0.0898562095,-0.0270465208,-0.5119262778,0.9607944745,-0.3883755737,1.045172928
-0.55,4733,5267,4534,5466,981,782,10000,0,10000,0,0,0,-0.55,-0.4122656766,0.1377343234,-0.1377343234,2.3695400605,2.7278344868,0.0106165856,0.0179333348,-0.4318027968,1.491585437,-0.3241210703,1.1335779758
-0.5,7398,2602,6906,3094,1235,743,10000,0,10000,0,0,0,-0.5,-0.3742502333,0.1257497667,-0.1257497667,2.3673450099,2.7248592527,0.120667494,0.0818276561,-0.3361535732,1.2708770518,-0.2460758123,1.2720389241
-0.45,9070,930,8595,1405,890,415,10000,0,10000,0,0,0,-0.45,-0.3370838614,0.1129161386,-0.1129161386,2.3686644489,2.7256747549,0.2250536466,0.1537004797,-0.2859393362,1.2704515471,-0.1971396717,1.4392366075
-0.4,9808,192,9537,463,394,123,10000,0,10000,0,0,0,-0.4,-0.3000371405,0.0999628595,-0.0999628595,2.3653220109,2.7240862932,0.3262227515,0.2333371911,-0.2057702596,1.3661998938,-0.1849466832,1.5354631633
-0.35,9970,30,9893,107,100,23,10000,0,10000,0,0,0,-0.35,-0.2621353293,0.0878646707,-0.0878646707,2.3656820867,2.7250320456,0.4291349466,0.3236101391,-0.1390353545,1.4575152639,-0.0944364468,1.6899322052
-0.3,10000,0,9981,19,19,0,10000,0,10000,0,0,0,-0.3,-0.2248383178,0.0751616822,-0.0751616822,2.3635107227,2.7213268895,0.5382237347,0.4181103419,0.0093517062,1.7137848713,-0.0570737079,1.753143988
-0.25,10000,0,9997,3,3,0,10000,0,10000,0,0,0,-0.25,-0.1868507184,0.0631492816,-0.0631492816,2.3686238525,2.7267831428,0.6394428541,0.5182597422,0.0722548225,2.1455703929,-0.0120536601,2.1204991367
-0.2,10000,0,10000,0,0,0,10000,0,10000,0,0,0,-0.2,-0.1500223157,0.0499776843,-0.0499776843,2.3709429726,2.7295820796,0.7478534135,0.6240974743,0.1417367086,2.5570377095,0.0251115147,2.5146501605
-0.15,10000,0,10000,0,0,0,10000,0,10000,0,0,0,-0.15,-0.1126104786,0.0373895214,-0.0373895214,2.3640015877,2.721662895,0.850184538,0.7246250924,0.2056495558,2.0577412501,0.051212517,2.2677898444
-0.1,10000,0,10000,0,0,0,10000,0,10000,0,0,0,-0.1,-0.0747682741,0.0252317259,-0.0251425444,2.3638205221,2.7217428422,0.9509024759,0.8311662794,0.3081885653,2.2885377349,0.1025314904,2.289894772
-0.05,10000,0,10000,0,0,0,10000,0,10000,0,0,0,-0.05,-0.0373812708,0.0126187292,-0.0105883891,2.3684028165,2.7264536864,1.0615905068,0.9423781216,0.3816249531,2.3994424651,0.1732994264,2.7114448065
0,10000,0,10000,0,0,0,10000,0,10000,0,0,0,-1.71507117350978E-19,5.99926579835528E-05,5.99926579835529E-05,0.0213989161,2.3646989278,2.7229180341,1.166218095,1.061394275,0.4504119541,3.23616691,0.2432463902,2.9916086067
0.05,10000,0,10000,0,0,0,10000,0,10000,0,0,0,0.05,0.0367530546,-0.0132469454,-0.0110356431,2.3652602563,2.723619779,1.2716175707,1.1703868698,0.5328303172,2.8811201446,0.3066352749,2.9852539019
0.1,10000,0,10000,0,0,0,10000,0,10000,0,0,0,0.1,0.0752178558,-0.0247821442,-0.0247171122,2.3657852938,2.723487051,1.3828262241,1.2970251674,0.5773614998,2.9217937804,0.4210625927,2.9026845417
0.15,10000,0,10000,0,0,0,10000,0,10000,0,0,0,0.15,0.1118521841,-0.0381478159,-0.0381463257,2.3677739216,2.7281700306,1.4882340345,1.4146964375,0.6159775643,3.1541059807,0.4914420081,3.1741345895
0.2,10000,0,10000,0,0,0,10000,0,10000,0,0,0,0.2,0.1496461727,-0.0503538273,-0.0503538273,2.365885229,2.7234982686,1.5908451191,1.5238172252,0.7244306231,3.0496113883,0.4556665394,3.3480607162
