rho_set,A0_unstable,A0_stable,A1_unstable,A1_stable,A1_stabilised,A1_destabilised,A0_infeasible,A0_feasible,A1_infeasible,A1_feasible,A1_made_feasible,A1_made_infeasible,A0_rho,A1_rho,rho_diff,rho_abs,complex_A0,complex_A1,A0_eig,A1_eig,LCI_A0,UCI_A0,LCI_A1,UCI_A1
0.45,10000,0,10000,0,0,0,10000,0,10000,0,0,0,0.45,0.3361132215,-0.1138867785,-0.1138867785,1.7868759317,2.0567209873,1.2555392222,1.1638286781,0.3722860167,3.6429028984,0.1587449555,3.2668419419
0.5,10000,0,10000,0,0,0,10000,0,10000,0,0,0,0.5,0.3741922254,-0.1258077746,-0.1258077746,1.7838701013,2.050403508,1.328928129,1.2443084743,0.4561303978,3.1303153481,0.2452611469,3.655019941
0.55,10000,0,10000,0,0,0,10000,0,10000,0,0,0,0.55,0.4108234043,-0.1391765957,-0.1391765957,1.7888571836,2.0561552823,1.412266716,1.327873337,0.4965079515,3.4860014919,0.160883864,3.5320740598
0.6,10000,0,10000,0,0,0,10000,0,10000,0,0,0,0.6,0.4475323994,-0.1524676006,-0.1524676006,1.7884169515,2.0556561902,1.4949632903,1.4120102282,0.5018760246,3.7579242732,0.2795326561,3.9459854828
0.65,10000,0,10000,0,0,0,10000,0,10000,0,0,0,0.65,0.4848249883,-0.1651750117,-0.1651750117,1.7800902886,2.0497507499,1.5602814376,1.4888115075,0.5660836714,4.1183011841,0.2894734804,3.6353441678
0.7,10000,0,10000,0,0,0,10000,0,10000,0,0,0,0.7,0.5219137005,-0.1780862995,-0.1780862995,1.7829978761,2.0508212087,1.6435000018,1.580795008,0.6637842441,3.5251361291,0.5174532098,3.7746705415
0.75,10000,0,10000,0,0,0,10000,0,10000,0,0,0,0.75,0.5594995005,-0.1905004995,-0.1905004995,1.7861931541,2.0567626057,1.7253836284,1.6700632086,0.7154073038,3.4984282025,0.4460838184,3.8027340234
0.8,10000,0,10000,0,0,0,10000,0,10000,0,0,0,0.8,0.5971770406,-0.2028229594,-0.2028229594,1.783121187,2.0518318034,1.8037403858,1.7525686333,0.7103773812,4.0840550491,0.4862184264,4.1750905998
0.85,10000,0,10000,0,0,0,10000,0,10000,0,0,0,0.85,0.633794994,-0.216205006,-0.216205006,1.7823092503,2.0500695522,1.8762036361,1.8339157535,0.6981010563,3.7322220326,0.6043847642,3.9142990153
0.9,10000,0,10000,0,0,0,10000,0,10000,0,0,0,0.9,0.672743732,-0.227256268,-0.227256268,1.786653092,2.0545539337,1.9675015095,1.9337141794,0.732722113,4.3430920391,0.6303621068,4.3964336092
