rho_set,A0_unstable,A0_stable,A1_unstable,A1_stable,A1_stabilised,A1_destabilised,A0_infeasible,A0_feasible,A1_infeasible,A1_feasible,A1_made_feasible,A1_made_infeasible,A0_rho,A1_rho,rho_diff,rho_abs,complex_A0,complex_A1,A0_eig,A1_eig,LCI_A0,UCI_A0,LCI_A1,UCI_A1
-0.9,13,9987,13,9987,0,0,9949,51,9961,39,29,41,-0.9,-0.6728549276,0.2271450724,-0.2271450724,1.2623055909,1.4433838117,-0.8184453572,-0.2860231137,-1.5023230687,0.6435739197,-1.5027071237,0.6062609294
-0.85,18,9982,21,9979,0,3,9955,45,9958,42,30,33,-0.85,-0.6364635447,0.2135364553,-0.2135364553,1.2649525863,1.4445580966,-0.7751847008,-0.2780824962,-1.4882159642,0.93614173,-1.4020477857,0.6726669965
-0.8,48,9952,51,9949,0,3,9951,49,9953,47,36,38,-0.8,-0.5985473681,0.2014526319,-0.2014526319,1.2621956396,1.4426508795,-0.7263376325,-0.2679472862,-1.4132623871,0.9504370554,-1.2681024313,0.7140636423
-0.75,75,9925,78,9922,0,3,9956,44,9965,35,22,31,-0.75,-0.5590083827,0.1909916173,-0.1909916173,1.2629035434,1.4440983126,-0.6805624604,-0.2551002721,-1.331247696,1.0385353336,-1.2894673607,0.8306261267
-0.7,86,9914,92,9908,0,6,9948,52,9949,51,31,32,-0.7,-0.5227936334,0.1772063666,-0.1772063666,1.2566476325,1.4387397993,-0.6316618579,-0.240518556,-1.3451065908,2.0415205056,-1.3200801649,1.5581406314
-0.65,134,9866,136,9864,0,2,9954,46,9952,48,28,26,-0.65,-0.4863855607,0.1636144393,-0.1636144393,1.2612939863,1.4403198132,-0.5887121025,-0.2293374415,-1.4976154979,0.9153484377,-1.4130058382,0.7827692051
-0.6,207,9793,216,9784,1,10,9949,51,9930,70,41,22,-0.6,-0.4500158567,0.1499841433,-0.1499841433,1.2630967283,1.4456828617,-0.5420518681,-0.215050731,-1.2860229778,1.551440367,-1.2397972963,1.5111022533
-0.55,250,9750,260,9740,2,12,9945,55,9940,60,37,32,-0.55,-0.4121181615,0.1378818385,-0.1378664769,1.2614368843,1.4427311662,-0.4987829388,-0.2000908708,-1.2429173965,1.2818892178,-1.1290400048,1.0157767556
-0.5,342,9658,353,9647,4,15,9962,38,9962,38,26,26,-0.5,-0.3734707438,0.1265292562,-0.1265170642,1.2610341727,1.4413584311,-0.4536249894,-0.184617614,-1.1609645321,2.239610482,-1.084719902,1.8877869323
-0.45,479,9521,504,9496,3,28,9964,36,9954,46,32,22,-0.45,-0.3369539138,0.1130460862,-0.1129598208,1.2639120512,1.444460399,-0.4043452722,-0.1653765125,-1.1488089433,2.0484714216,-1.1086004099,2.0273180913
-0.4,655,9345,680,9320,10,35,9951,49,9949,51,25,23,-0.4,-0.2996717507,0.1003282493,-0.1001682833,1.2565237871,1.4382035867,-0.3586245241,-0.1485128892,-1.1943010127,1.5960635801,-0.9520764974,1.7535636016
-0.35,887,9113,929,9071,15,57,9960,40,9952,48,37,29,-0.35,-0.2621352992,0.0878647008,-0.0873399379,1.2617391138,1.4450897976,-0.315785288,-0.1312193231,-1.0006677707,1.8473068603,-0.8518028901,1.5145890663
-0.3,1230,8770,1270,8730,33,73,9955,45,9964,36,21,30,-0.3,-0.223374948,0.076625052,-0.0749583817,1.258577276,1.4405373434,-0.262893805,-0.1097513102,-1.0028823317,2.409599114,-0.8693343822,2.0437784883
-0.25,1665,8335,1707,8293,36,78,9952,48,9956,44,28,32,-0.25,-0.1880231805,0.0619768195,-0.0591612361,1.2637590428,1.4465349337,-0.214501,-0.0887504715,-1.0484673219,2.8804852056,-0.8196136343,2.195064988
-0.2,2064,7936,2133,7867,86,155,9964,36,9967,33,20,23,-0.2,-0.1489680142,0.0510319858,-0.0448194416,1.2587488576,1.4452035499,-0.169824236,-0.0653834172,-0.9341041763,1.6499363931,-0.8024780166,1.592524079
-0.15,2674,7326,2738,7262,128,192,9968,32,9959,41,28,19,-0.15,-0.1117187491,0.0382812509,-0.0260775217,1.2604904968,1.4451909127,-0.1224083948,-0.04231709,-0.8783908151,2.174417864,-0.9910927269,2.1035306659
-0.1,3265,6735,3281,6719,177,193,9980,20,9969,31,21,10,-0.1,-0.074727497,0.025272503,-0.0010458766,1.2602800244,1.4432161597,-0.0773532618,-0.0162297269,-0.8741227857,2.9137513973,-0.7324515888,3.2077974445
-0.05,3832,6168,3871,6129,235,274,9975,25,9974,26,20,19,-0.05,-0.0385879439,0.0114120561,0.0299852572,1.260655613,1.4457903385,-0.0278437426,0.0116267128,-0.7679681157,2.1570191326,-0.8670219403,2.205669638
0,4592,5408,4546,5454,313,267,9976,24,9973,27,19,16,2.90071235873728E-20,0.0003184471,0.0003184471,0.0745433094,1.2552665668,1.439991367,0.0193922873,0.0379150823,-0.7518903004,2.3832091597,-0.7383952454,2.1966681307
0.05,5276,4724,5271,4729,353,348,9982,18,9981,19,15,14,0.05,0.0357296181,-0.0142703819,0.0301516688,1.2573558484,1.440315713,0.0669564797,0.0706733355,-0.7003009615,2.885440599,-0.6330268208,2.6036127662
0.1,6133,3867,6032,3968,380,279,9978,22,9979,21,16,17,0.1,0.07417464,-0.02582536,-0.0020942724,1.2627095557,1.446583457,0.1251442853,0.108413043,-0.6623149916,2.8524123353,-0.569608576,2.4141660797
0.15,6838,3162,6708,3292,426,296,9985,15,9976,24,21,12,0.15,0.1113007475,-0.0386992525,-0.0267246039,1.2578854492,1.4448908317,0.1633827995,0.1347039473,-0.7062016521,2.3482479568,-0.6912844475,2.2449794008
0.2,7461,2539,7301,2699,448,288,9982,18,9978,22,14,10,0.2,0.149512881,-0.050487119,-0.0444668093,1.2511319078,1.4364529992,0.2105444667,0.1694487241,-0.5283089463,3.0220960386,-0.4931718026,2.6461421793
0.25,8050,1950,7864,2136,442,256,9981,19,9977,23,16,12,0.25,0.1847650827,-0.0652349173,-0.0623820561,1.2560362078,1.4421738059,0.2643241172,0.2095887333,-0.4795562721,2.6530846283,-0.4081865901,2.4480992744
0.3,8554,1446,8265,1735,453,164,9988,12,9982,18,15,9,0.3,0.2217103599,-0.0782896401,-0.0769076305,1.2562899745,1.4402916704,0.3127179411,0.2439673378,-0.4852333868,3.1259821964,-0.4081435178,2.6747682458
0.35,8972,1028,8788,1212,332,148,9981,19,9973,27,20,12,0.35,0.2599427032,-0.0900572968,-0.0894337591,1.2585374237,1.4456314138,0.3647775894,0.2876150937,-0.5995929458,3.2824600929,-0.3842469331,3.1690183078
0.4,9325,675,9167,833,275,117,9987,13,9990,10,8,11,0.4,0.2967565959,-0.1032434041,-0.1031045338,1.2522100747,1.4384532015,0.4081185977,0.3227450298,-0.3888266436,3.2379591774,-0.3104574541,3.2911897935
0.45,9562,438,9450,550,177,65,9980,20,9990,10,4,14,0.45,0.334663391,-0.115336609,-0.1152383512,1.2582837069,1.4441879654,0.4612338482,0.3709525349,-0.3690529624,2.9680805762,-0.3191185215,3.0334726585
0.5,9721,279,9603,397,166,48,9978,22,9985,15,10,17,0.5,0.3696823784,-0.1303176216,-0.1302533382,1.2538976554,1.4412707383,0.512424796,0.4129194784,-0.3317452953,3.388943704,-0.2304413177,3.0125338702
0.55,9831,169,9750,250,112,31,9985,15,9985,15,12,12,0.55,0.4082216738,-0.1417783262,-0.1417464925,1.2586326974,1.4453639526,0.5655746131,0.4623160558,-0.3205439123,3.917070714,-0.2217197339,4.0409090622
0.6,9916,84,9862,138,66,12,9985,15,9985,15,10,10,0.6,0.4434351385,-0.1565648615,-0.1565648615,1.2529806168,1.4431441877,0.614171892,0.5080368951,-0.2857171173,3.2142212733,-0.2004031059,3.040731994
0.65,9951,49,9920,80,36,5,9985,15,9987,13,9,11,0.65,0.4794891666,-0.1705108334,-0.1705090001,1.2486083121,1.4371232814,0.659484359,0.5468089731,-0.2132001819,3.9989616473,-0.2009288237,3.7245902369
0.7,9980,20,9959,41,23,2,9983,17,9984,16,11,12,0.7,0.5197538733,-0.1802461267,-0.1802461267,1.2563108444,1.4442652303,0.7160146646,0.6039060883,-0.226035527,3.3500336979,-0.1590809591,3.4698181514
0.75,9985,15,9969,31,18,2,9986,14,9988,12,6,8,0.75,0.5570306199,-0.1929693801,-0.1929693801,1.250918125,1.4382764016,0.7600569537,0.6476388505,-0.0790114116,3.9413529308,-0.0770337741,3.6915857687
0.8,9994,6,9992,8,3,1,9988,12,9987,13,10,9,0.8,0.5928764015,-0.2071235985,-0.2071235985,1.2532523456,1.4434126493,0.8213445846,0.7052582269,-0.1431172119,3.8853034688,-0.0627625273,3.8307873449
0.85,9998,2,9998,2,0,0,9987,13,9988,12,10,11,0.85,0.630117591,-0.219882409,-0.219882409,1.2531051404,1.4398751637,0.8718911625,0.7485546225,-0.081311649,3.3109118882,-0.0626365164,3.5553365418
0.9,9999,1,9999,1,0,0,9993,7,9990,10,7,4,0.9,0.6667987369,-0.2332012631,-0.2332012631,1.25213432,1.441504702,0.9204028182,0.7977168849,-0.0088830152,3.5421139544,-0.0097115105,3.7369193335
