"","N","A0_unstable","A0_stable","A1_unstable","A1_stable","A1_stabilised","A1_destabilised"
"1",2,1,11999,1,11999,0,0
"2",3,53,11947,53,11947,0,0
"3",4,206,11794,206,11794,0,0
"4",5,488,11512,485,11515,3,0
"5",6,944,11056,934,11066,10,0
"6",7,1638,10362,1584,10416,54,0
"7",8,2506,9494,2276,9724,230,0
"8",9,3410,8590,2958,9042,452,0
"9",10,4504,7496,3568,8432,936,0
"10",11,5886,6114,4418,7582,1469,1
"11",12,7103,4897,4957,7043,2147,1
"12",13,8257,3743,5378,6622,2879,0
"13",14,9375,2625,5767,6233,3608,0
"14",15,10137,1863,6095,5905,4042,0
"15",16,10910,1090,6233,5767,4677,0
"16",17,11322,678,6441,5559,4881,0
"17",18,11608,392,6721,5279,4887,0
"18",19,11778,222,7019,4981,4759,0
"19",20,11906,94,7217,4783,4689,0
"20",21,11962,38,7582,4418,4380,0
"21",22,11989,11,7965,4035,4024,0
"22",23,11997,3,8478,3522,3519,0
"23",24,11997,3,8817,3183,3180,0
"24",25,11997,3,9394,2606,2603,0
"25",26,12000,0,9932,2068,2068,0
"26",27,12000,0,10394,1606,1606,0
"27",28,12000,0,10781,1219,1219,0
"28",29,12000,0,11114,886,886,0
"29",30,12000,0,11407,593,593,0
"30",31,12000,0,11623,377,377,0
"31",32,12000,0,11771,229,229,0
"32",33,12000,0,11891,109,109,0
"33",34,12000,0,11932,68,68,0
"34",35,12000,0,11956,44,44,0
"35",36,12000,0,11988,12,12,0
"36",37,12000,0,11993,7,7,0
"37",38,12000,0,11996,4,4,0
"38",39,12000,0,11997,3,3,0
"39",40,12000,0,12000,0,0,0
