"","N","A0_unstable","A0_stable","A1_unstable","A1_stable","A1_stabilised","A1_destabilised"
"1",2,6,11994,6,11994,0,0
"2",3,34,11966,34,11966,0,0
"3",4,169,11831,169,11831,0,0
"4",5,477,11523,476,11524,1,0
"5",6,939,11061,926,11074,13,0
"6",7,1683,10317,1625,10375,58,0
"7",8,2458,9542,2293,9707,165,0
"8",9,3457,8543,2984,9016,474,1
"9",10,4655,7345,3801,8199,855,1
"10",11,5738,6262,4319,7681,1419,0
"11",12,7027,4973,4926,7074,2101,0
"12",13,8239,3761,5361,6639,2878,0
"13",14,9262,2738,5687,6313,3575,0
"14",15,10115,1885,5899,6101,4216,0
"15",16,10857,1143,6305,5695,4552,0
"16",17,11319,681,6537,5463,4783,1
"17",18,11619,381,6654,5346,4965,0
"18",19,11809,191,6958,5042,4851,0
"19",20,11915,85,7178,4822,4737,0
"20",21,11962,38,7679,4321,4283,0
"21",22,11977,23,7881,4119,4096,0
"22",23,11993,7,8494,3506,3499,0
"23",24,11999,1,8930,3070,3069,0
"24",25,11997,3,9354,2646,2643,0
"25",26,12000,0,9887,2113,2113,0
"26",27,12000,0,10359,1641,1641,0
"27",28,12000,0,10833,1167,1167,0
"28",29,12000,0,11088,912,912,0
"29",30,12000,0,11419,581,581,0
"30",31,12000,0,11632,368,368,0
"31",32,12000,0,11780,220,220,0
"32",33,12000,0,11881,119,119,0
"33",34,12000,0,11921,79,79,0
"34",35,12000,0,11968,32,32,0
"35",36,12000,0,11984,16,16,0
"36",37,12000,0,11992,8,8,0
"37",38,12000,0,11998,2,2,0
"38",39,12000,0,11999,1,1,0
"39",40,12000,0,11998,2,2,0
