"","N","A0_unstable","A0_stable","A1_unstable","A1_stable","A1_stabilised","A1_destabilised"
"1",2,3,11997,3,11997,0,0
"2",3,34,11966,34,11966,0,0
"3",4,187,11813,187,11813,0,0
"4",5,466,11534,466,11534,0,0
"5",6,971,11029,956,11044,15,0
"6",7,1572,10428,1521,10479,51,0
"7",8,2412,9588,2219,9781,193,0
"8",9,3445,8555,2994,9006,451,0
"9",10,4609,7391,3734,8266,875,0
"10",11,5826,6174,4364,7636,1463,1
"11",12,7145,4855,4922,7078,2223,0
"12",13,8258,3742,5383,6617,2876,1
"13",14,9246,2754,5755,6245,3491,0
"14",15,10172,1828,6002,5998,4170,0
"15",16,10838,1162,6217,5783,4621,0
"16",17,11324,676,6524,5476,4800,0
"17",18,11639,361,6686,5314,4953,0
"18",19,11803,197,7015,4985,4788,0
"19",20,11907,93,7321,4679,4586,0
"20",21,11951,49,7521,4479,4430,0
"21",22,11982,18,7995,4005,3987,0
"22",23,11991,9,8395,3605,3596,0
"23",24,11997,3,8888,3112,3109,0
"24",25,12000,0,9396,2604,2604,0
"25",26,12000,0,9898,2102,2102,0
"26",27,12000,0,10399,1601,1601,0
"27",28,12000,0,10793,1207,1207,0
"28",29,12000,0,11166,834,834,0
"29",30,12000,0,11413,587,587,0
"30",31,12000,0,11626,374,374,0
"31",32,12000,0,11791,209,209,0
"32",33,12000,0,11889,111,111,0
"33",34,12000,0,11906,94,94,0
"34",35,12000,0,11962,38,38,0
"35",36,12000,0,11988,12,12,0
"36",37,12000,0,11986,14,14,0
"37",38,12000,0,11996,4,4,0
"38",39,12000,0,11999,1,1,0
"39",40,12000,0,12000,0,0,0
