"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",2,0,10000,0,0,7170,2096,365,369,0
"2",3,33,9967,0,0,8299,951,370,380,0
"3",4,132,9868,0,0,9113,359,278,250,0
"4",5,374,9623,0,3,9547,141,166,146,0
"5",6,843,9149,0,8,9759,63,98,80,0
"6",7,1303,8651,0,46,9890,24,45,41,0
"7",8,1910,7933,0,157,9941,15,19,25,0
"8",9,2531,7091,0,378,9976,6,7,11,0
"9",10,3159,6149,0,692,9986,1,10,3,0
"10",11,3624,5186,0,1190,9990,0,4,6,0
"11",12,4006,4220,0,1774,9994,0,2,4,0
"12",13,4477,3120,0,2403,9998,0,1,1,0
"13",14,4695,2228,0,3077,10000,0,0,0,0
"14",15,4959,1542,0,3499,10000,0,0,0,0
"15",16,5258,958,0,3784,10000,0,0,0,0
"16",17,5465,546,0,3989,10000,0,0,0,0
"17",18,5602,314,0,4084,10000,0,0,0,0
"18",19,5800,150,0,4050,10000,0,0,0,0
"19",20,5972,58,0,3970,10000,0,0,0,0
"20",21,6437,36,0,3527,10000,0,0,0,0
"21",22,6633,14,0,3353,10000,0,0,0,0
"22",23,7067,2,0,2931,10000,0,0,0,0
"23",24,7373,0,0,2627,10000,0,0,0,0
"24",25,7833,1,0,2166,10000,0,0,0,0
"25",26,8236,0,0,1764,10000,0,0,0,0
"26",27,8621,0,0,1379,10000,0,0,0,0
"27",28,9007,0,0,993,10000,0,0,0,0
"28",29,9302,0,0,698,10000,0,0,0,0
"29",30,9538,0,0,462,10000,0,0,0,0
"30",31,9673,0,0,327,10000,0,0,0,0
"31",32,9809,0,0,191,10000,0,0,0,0
"32",33,9878,0,0,122,10000,0,0,0,0
"33",34,9930,0,0,70,10000,0,0,0,0
"34",35,9973,0,0,27,10000,0,0,0,0
"35",36,9983,0,0,17,10000,0,0,0,0
"36",37,9988,0,0,12,10000,0,0,0,0
"37",38,9999,0,0,1,10000,0,0,0,0
"38",39,9998,0,0,2,10000,0,0,0,0
"39",40,9998,0,0,2,10000,0,0,0,0
